Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。,作答时长(毫秒).4,您是否曾见过包含以上内容的信息？,作答时长(毫秒).5,您认为这条信息的可信度如何？,作答时长(毫秒).6,如果您在社交媒体上看到该信息，您会传播吗？,作答时长(毫秒).7,本题检测是否真人作答,作答时长(毫秒).8,您是否担心自己食用了苹果表面的蜡会对健康产生负面影响？,作答时长(毫秒).9,您认为食用苹果表面的蜡可能对健康造成多大的危害？,作答时长(毫秒).10,观看以下信息并回答问题.2,作答时长(毫秒).19,您是否曾见过包含以上内容的信息？.3,作答时长(毫秒).20,您认为这条健康信息的可信度如何？.2,作答时长(毫秒).21,您是否愿意分享该健康信息？.2,作答时长(毫秒).22,请回顾初始健康信息内容，并回答以下问题,作答时长(毫秒).27,您现在认为该健康信息的可信度如何？,作答时长(毫秒).28,您是否愿意分享该健康信息？.4,作答时长(毫秒).29,观看信息前后，您的观点是否发生变化？,作答时长(毫秒).30
44.0,谣言信息1 展示,辟谣信息1a,33045,18-30岁,326,本科,894,0,0,1,0,0,0,0,0,199,1,1000,是,4061,7,497,7,597,非常不满意,1059,7,3237,5,244,1,1000,是,1644,5,428,6,779,1,1000,7,3265,6,248,有些动摇，但仍倾向相信,1196
60.0,谣言信息1 展示,辟谣信息1a,1049,31-40岁,1000,硕士及以上,2434,0,1,0,0,0,0,0,0,1090,1,1000,是,5420,4,1257,4,872,非常不满意,1236,4,4050,4,1136,1,1000,是,1624,4,1111,4,819,1,1000,4,2202,4,276,,
80.0,谣言信息1 展示,辟谣信息1a,1577,31-40岁,562,初中及以下,2121,0,0,1,1,0,0,0,0,2421,1,1000,是,5159,5,1566,5,432,非常不满意,1832,6,4233,5,468,1,1000,是,2712,5,589,5,1565,1,1000,5,2915,6,482,完全没有变化，仍然相信,2044
81.0,谣言信息1 展示,辟谣信息1a,948,18-30岁,272,高中/中专,1164,1,0,0,0,0,0,0,0,337,1,1000,否,7417,7,417,6,717,非常不满意,440,7,3501,6,322,1,1000,是,2174,7,4682,7,766,1,1000,7,2353,7,333,有些动摇，但仍倾向相信,1120
99.0,谣言信息1 展示,辟谣信息1a,1237,31-40岁,350,高中/中专,1170,0,0,1,0,1,0,0,0,1682,1,1000,是,4623,6,520,7,4317,非常不满意,1279,7,9232,7,361,1,1000,是,2277,7,352,6,2167,1,1000,7,2602,5,422,有些动摇，但仍倾向相信,1543
100.0,谣言信息1 展示,辟谣信息1a,5123,18-30岁,546,本科,2095,0,0,0,1,0,0,0,0,1606,1,1000,是,8945,4,480,5,2360,非常不满意,5301,4,5878,5,392,1,1000,是,3144,6,623,4,358,1,1000,4,3086,6,438,,
102.0,谣言信息1 展示,辟谣信息1a,989,31-40岁,516,本科,1396,0,0,0,1,0,0,0,0,1078,1,1000,是,3580,7,742,6,439,非常不满意,3586,7,4789,6,416,1,1000,是,2035,7,490,6,439,1,1000,7,2326,6,422,有些动摇，但仍倾向相信,1469
104.0,谣言信息1 展示,辟谣信息1a,1636,31-40岁,1373,高中/中专,1447,1,0,0,0,0,0,0,0,498,1,1000,是,13239,6,3417,5,798,非常不满意,1936,6,9592,6,607,1,1000,是,2428,6,1334,6,1112,1,1000,5,2609,7,548,完全没有变化，仍然相信,1869
115.0,谣言信息1 展示,辟谣信息1a,1394,18-30岁,928,高中/中专,1989,1,1,1,1,1,1,1,0,4715,1,1000,是,4907,5,4109,6,912,非常不满意,2371,6,3701,7,353,1,1000,是,2076,6,1273,6,523,1,1000,7,2464,6,362,有些动摇，但仍倾向相信,3960
129.0,谣言信息1 展示,辟谣信息1a,1465,18-30岁,992,本科,3560,1,0,0,0,0,0,0,0,1457,1,1000,是,5954,3,3772,3,1147,非常不满意,1076,3,3967,3,486,1,1000,是,1604,4,1600,3,297,1,1000,3,4074,5,1055,,
174.0,谣言信息1 展示,辟谣信息1a,12766,51-60岁,553,本科,550,0,0,1,1,1,1,1,0,1927,1,1000,是,5429,6,553,6,1041,非常不满意,1061,6,6145,6,1041,1,1000,是,21095,6,541,7,1034,1,1000,6,6076,6,1042,完全没有变化，仍然相信,6095
230.0,谣言信息1 展示,辟谣信息1a,15102,31-40岁,540,高中/中专,546,1,0,1,0,0,1,1,0,1602,1,1000,是,5403,6,547,6,1039,非常不满意,1050,6,6196,6,1054,1,1000,是,21096,6,541,6,1044,1,1000,6,6089,6,1058,完全没有变化，仍然相信,6095
238.0,谣言信息1 展示,辟谣信息1a,14485,60岁以上,551,本科,550,0,1,1,1,1,1,1,0,2268,1,1000,是,5403,6,552,6,1046,非常不满意,1062,6,6146,6,1043,1,1000,是,21110,6,540,6,1042,1,1000,7,6082,7,1034,完全没有变化，仍然相信,6105
266.0,谣言信息1 展示,辟谣信息1a,14114,41-50岁,546,初中及以下,572,1,1,0,1,0,0,1,0,1574,1,1000,是,5404,7,546,7,1047,非常不满意,1049,6,6163,7,1048,1,1000,是,21106,6,538,7,1041,1,1000,6,6066,6,1040,完全没有变化，仍然相信,6095
