Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。,作答时长(毫秒).4,您是否曾见过包含以上内容的信息？,作答时长(毫秒).5,您认为这条信息的可信度如何？,作答时长(毫秒).6,如果您在社交媒体上看到该信息，您会传播吗？,作答时长(毫秒).7,本题检测是否真人作答,作答时长(毫秒).8,您是否担心自己食用了苹果表面的蜡会对健康产生负面影响？,作答时长(毫秒).9,您认为食用苹果表面的蜡可能对健康造成多大的危害？,作答时长(毫秒).10,观看以下信息并回答问题.3,作答时长(毫秒).23,您是否曾见过包含以上内容的信息？.4,作答时长(毫秒).24,您认为这条健康信息的可信度如何？.3,作答时长(毫秒).25,您是否愿意分享该健康信息？.3,作答时长(毫秒).26,请回顾初始健康信息内容，并回答以下问题,作答时长(毫秒).27,您现在认为该健康信息的可信度如何？,作答时长(毫秒).28,您是否愿意分享该健康信息？.4,作答时长(毫秒).29,观看信息前后，您的观点是否发生变化？,作答时长(毫秒).30
16.0,谣言信息1 展示,辟谣信息1b,1198,31-40岁,991,本科,1317,0,1,0,1,0,1,1,0,1652,1,1000,是,3644,3,683,5,1201,非常不满意,1049,4,5022,6,386,1,1000,是,1866,4,966,6,446,1,1000,2,3606,6,457,,
22.0,谣言信息1 展示,辟谣信息1b,1133,18-30岁,446,本科,1485,1,1,0,0,0,0,0,0,1193,1,1000,是,5346,2,4246,4,6232,非常不满意,5286,5,10186,5,3409,1,1000,是,3495,3,2686,1,2053,1,1000,6,3467,5,327,,
86.0,谣言信息1 展示,辟谣信息1b,1119,31-40岁,568,高中/中专,965,0,1,0,0,1,0,0,0,2213,1,1000,是,3944,5,473,5,342,非常不满意,337,6,4177,5,287,1,1000,是,340,4,1970,4,282,1,1000,5,3514,5,287,观点发生明显变化，现在不太相信,1736
92.0,谣言信息1 展示,辟谣信息1b,1811,18-30岁,6942,高中/中专,2765,0,0,0,1,0,0,0,0,9851,1,1000,是,9767,5,464,3,4648,非常不满意,6056,7,5580,7,724,1,1000,是,3093,5,652,5,1406,1,1000,5,3758,6,490,有些动摇，但仍倾向相信,1573
112.0,谣言信息1 展示,辟谣信息1b,1590,18-30岁,584,高中/中专,2210,0,1,1,0,0,0,0,0,3251,1,1000,是,7329,6,2138,4,6206,非常不满意,2643,7,3282,6,403,1,1000,是,5089,6,1312,6,377,1,1000,6,4432,6,515,完全没有变化，仍然相信,1971
123.0,谣言信息1 展示,辟谣信息1b,2227,31-40岁,28801832,高中/中专,901,0,1,0,1,1,0,0,0,57602117,1,1000,是,10084,5,28806785,3,28803966,非常不满意,1200,5,103447,5,452,1,1000,是,3201,5,817,4,416,1,1000,6,2332,5,301,观点发生明显变化，现在不太相信,28801767
141.0,谣言信息1 展示,辟谣信息1b,835,18-30岁,526,高中/中专,1135,0,0,1,0,1,0,0,0,1262,1,1000,是,4455,6,580,7,3319,非常不满意,1034,7,4249,7,361,1,1000,是,1288,7,294,6,1121,1,1000,7,399,6,2466,有些动摇，但仍倾向相信,1367
147.0,谣言信息1 展示,辟谣信息1b,1868,41-50岁,920,本科,1105,0,1,0,1,0,0,0,0,2179,1,1000,是,4150,4,928,4,867,非常不满意,2950,5,3069,4,1215,1,1000,是,1957,4,721,5,1585,1,1000,4,1694,5,1629,,
156.0,谣言信息1 展示,辟谣信息1b,5695,18-30岁,6144,本科,2014,0,1,1,1,1,1,0,0,5534,1,1000,是,7914,5,1719,6,2454,非常不满意,6161,5,9704,4,2186,1,1000,是,4241,4,1475,6,856,1,1000,6,3611,6,538,有些动摇，但仍倾向相信,3063
175.0,谣言信息1 展示,辟谣信息1b,14541,18-30岁,543,硕士及以上,566,1,0,1,0,0,0,1,0,1222,1,1000,是,5430,6,544,6,1042,非常不满意,1057,6,6152,6,1038,1,1000,是,21107,6,545,6,1037,1,1000,7,6110,6,1035,完全没有变化，仍然相信,6086
