Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。,作答时长(毫秒).4,您是否曾见过包含以上内容的信息？,作答时长(毫秒).5,您认为这条信息的可信度如何？,作答时长(毫秒).6,如果您在社交媒体上看到该信息，您会传播吗？,作答时长(毫秒).7,本题检测是否真人作答,作答时长(毫秒).8,您是否担心自己食用了苹果表面的蜡会对健康产生负面影响？,作答时长(毫秒).9,您认为食用苹果表面的蜡可能对健康造成多大的危害？,作答时长(毫秒).10,观看以下信息并回答问题,作答时长(毫秒).11,您是否曾见过包含以上内容的信息？.1,作答时长(毫秒).12,您认为这条健康信息的可信度如何？,作答时长(毫秒).13,您是否愿意分享该健康信息？,作答时长(毫秒).14,请回顾初始健康信息内容，并回答以下问题,作答时长(毫秒).27,您现在认为该健康信息的可信度如何？,作答时长(毫秒).28,您是否愿意分享该健康信息？.4,作答时长(毫秒).29,观看信息前后，您的观点是否发生变化？,作答时长(毫秒).30
10.0,谣言信息1 展示,辟谣信息1c,1863,51-60岁,231,高中/中专,707,0,0,1,0,0,0,0,0,614,1,1000,是,7388,3,1002,5,1733,非常不满意,1953,4,2355,6,1355,1,9466,是,1200,5,445,5,739,1,1000,5,1744,5,223,,
14.0,谣言信息1 展示,辟谣信息1c,21812,31-40岁,583,高中/中专,1321,1,0,1,1,0,0,0,0,2421,1,1000,是,4232,5,1749,3,449,非常不满意,1678,4,3172,5,741,1,6923,是,1314,4,1057,6,1305,1,1000,3,2639,5,553,有些动摇，但仍倾向相信,1858
32.0,谣言信息1 展示,辟谣信息1c,1106,18-30岁,861,高中/中专,1236,0,1,0,1,0,1,0,0,2053,1,1000,是,2786,5,3677,3,391,非常不满意,414,3,3684,5,837,1,24489,是,1553,4,329,5,350,1,1000,5,2678,5,182,有些动摇，但仍倾向相信,1350
46.0,谣言信息1 展示,辟谣信息1c,3230,31-40岁,377,高中/中专,850,0,1,0,1,0,0,1,0,2853,1,1000,是,14780,5,594,3,6203,非常不满意,2431,4,3620,5,389,1,54473,否,1612,5,1059,3,445,1,1000,6,2512,2,520,观点发生明显变化，现在不太相信,1299
79.0,谣言信息1 展示,辟谣信息1c,998,31-40岁,410,初中及以下,5903,1,0,0,0,0,0,0,0,1572,1,1000,是,6910,1,6801,1,2818,非常不满意,804,5,9036,6,2758,1,10207,是,2630,5,2084,6,266,1,1000,5,12425,6,432,,
106.0,谣言信息1 展示,辟谣信息1c,3675,31-40岁,688,高中/中专,1702,0,1,1,0,0,0,0,0,1351,1,1000,否,3616,5,498,3,754,非常不满意,4250,5,5517,4,1833,1,56543,是,3979,6,4700,7,1471,1,1000,4,5724,3,1839,观点发生明显变化，现在不太相信,6596
107.0,谣言信息1 展示,辟谣信息1c,1402,31-40岁,1289,初中及以下,8869,0,1,1,0,0,0,0,0,9754,1,1000,是,4481,5,8197,5,272,非常不满意,371,5,2734,5,390,1,14292,是,2487,5,1967,5,238,1,1000,5,4392,5,252,有些动摇，但仍倾向相信,3166
131.0,谣言信息1 展示,辟谣信息1c,22316,18-30岁,935,初中及以下,5692,1,1,1,0,0,0,0,0,2615,1,1000,是,14703,5,2261,6,698,非常不满意,4344,6,14146,7,687,1,76644,是,3224,7,1012,5,407,1,1000,7,12289,5,417,完全没有变化，仍然相信,2123
188.0,谣言信息1 展示,辟谣信息1c,14722,51-60岁,550,高中/中专,550,1,1,0,0,0,0,1,0,1237,1,1000,是,5419,7,568,7,1041,非常不满意,1062,7,6183,7,1050,1,66810,是,25387,7,545,7,1033,1,1000,6,6091,6,1034,完全没有变化，仍然相信,6086
227.0,谣言信息1 展示,辟谣信息1c,14629,18-30岁,547,初中及以下,545,1,0,0,1,0,0,1,0,1238,1,1000,是,5403,7,554,6,1053,非常不满意,1049,6,6134,6,1046,1,66811,是,25391,6,541,7,1046,1,1000,6,6087,7,1034,完全没有变化，仍然相信,6087
272.0,谣言信息1 展示,辟谣信息1c,14756,18-30岁,549,本科,561,0,1,0,1,1,0,1,0,1554,1,1000,是,5414,6,551,6,1049,非常不满意,1052,6,6148,7,1034,1,66819,是,25376,6,532,7,1035,1,1000,6,6085,6,1028,完全没有变化，仍然相信,6086
293.0,谣言信息1 展示,辟谣信息1c,14547,18-30岁,555,本科,541,1,1,1,0,1,1,1,0,2311,1,1000,是,5453,6,554,6,1044,非常不满意,1063,6,6150,6,1043,1,66889,是,25390,7,547,7,1041,1,1000,6,6098,7,1040,完全没有变化，仍然相信,6103
327.0,谣言信息1 展示,辟谣信息1c,15115,51-60岁,562,高中/中专,545,0,0,1,1,0,1,0,0,1233,1,1000,是,5406,6,553,6,1048,非常不满意,1050,6,6147,6,1039,1,66835,是,25383,6,535,6,1043,1,1000,6,6104,6,1038,完全没有变化，仍然相信,6079
337.0,谣言信息1 展示,辟谣信息1c,14377,60岁以上,539,本科,544,1,0,0,1,1,0,1,0,1561,1,1000,是,5411,6,549,6,1046,非常不满意,1066,6,6144,6,1053,1,66786,是,25377,7,546,7,1039,1,1000,7,6086,6,1037,完全没有变化，仍然相信,6103
347.0,谣言信息1 展示,辟谣信息1c,9179,60岁以上,592,硕士及以上,549,0,0,0,1,1,1,1,0,1568,1,1000,是,5417,6,542,6,1035,非常不满意,1050,6,6138,6,1047,1,66833,是,25387,6,536,6,1041,1,1000,7,6104,6,1040,完全没有变化，仍然相信,6095
404.0,谣言信息1 展示,辟谣信息1c,1193,31-40岁,1055,高中/中专,1823,1,0,0,0,0,0,0,0,886,1,1000,是,5860,5,4956,3,398,非常不满意,360,7,4111,7,336,1,36299,否,3474,4,2709,4,4024,1,1000,4,5188,5,257,完全没有变化，仍然相信,3868
419.0,谣言信息1 展示,辟谣信息1c,13220,18-30岁,2510,本科,1404,0,1,0,0,0,0,0,0,1306,1,1000,是,8496,5,1930,3,2401,非常不满意,3457,5,6430,7,367,1,7787,是,4108,5,1179,6,1133,1,1000,4,3828,6,322,观点发生明显变化，现在不太相信,2674
425.0,谣言信息1 展示,辟谣信息1c,300,31-40岁,714,硕士及以上,747,0,0,1,0,0,0,0,0,869,1,1000,是,2387,6,399,6,691,非常不满意,255,6,246,6,4389,1,10833,是,919,6,295,5,1006,1,1000,7,2747,5,257,有些动摇，但仍倾向相信,1071
450.0,谣言信息1 展示,辟谣信息1c,872,31-40岁,469,本科,725,0,0,0,1,0,0,0,0,994,1,1000,否,817,7,650,6,383,非常不满意,2007,7,215,6,2939,1,51549,是,958,7,1130,6,287,1,1000,7,1551,6,1617,观点发生明显变化，现在不太相信,1185
455.0,谣言信息1 展示,辟谣信息1c,810,18-30岁,852,本科,1363,0,0,0,1,0,1,0,0,1971,1,1000,是,5738,5,6555,3,4453,非常不满意,476,7,13921,5,664,1,49267,否,5003,4,1248,4,466,1,1000,6,5325,5,747,有些动摇，但仍倾向相信,1141
583.0,谣言信息1 展示,辟谣信息1c,19747,31-40岁,583,高中/中专,598,1,0,0,0,1,1,1,0,3825,1,1000,是,6220,2,581,2,1087,非常不满意,1088,4,5671,4,1083,1,53759,是,15410,1,586,3,1063,1,1000,2,6185,1,1083,,
585.0,谣言信息1 展示,辟谣信息1c,19796,51-60岁,583,初中及以下,576,0,0,0,1,1,1,1,0,3839,1,1000,是,6244,6,633,6,1101,非常不满意,1096,6,5685,6,1112,1,53758,是,15417,6,580,6,1093,1,1000,6,6190,6,1086,完全没有变化，仍然相信,6202
590.0,谣言信息1 展示,辟谣信息1c,19664,60岁以上,591,硕士及以上,588,1,1,0,0,1,0,1,0,3865,1,1000,是,6249,7,603,6,1094,非常不满意,1101,6,5685,7,1114,1,53534,是,15442,6,592,6,1068,1,1000,6,6221,6,1067,完全改变观点，现在完全不相信,6205
