Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。,作答时长(毫秒).4,您是否曾见过包含以上内容的信息？,作答时长(毫秒).5,您认为这条信息的可信度如何？,作答时长(毫秒).6,如果您在社交媒体上看到该信息，您会传播吗？,作答时长(毫秒).7,本题检测是否真人作答,作答时长(毫秒).8,您是否担心自己食用了苹果表面的蜡会对健康产生负面影响？,作答时长(毫秒).9,您认为食用苹果表面的蜡可能对健康造成多大的危害？,作答时长(毫秒).10,观看以下信息并回答问题.1,作答时长(毫秒).15,您是否曾见过包含以上内容的信息？.2,作答时长(毫秒).16,您认为这条健康信息的可信度如何？.1,作答时长(毫秒).17,您是否愿意分享该健康信息？.1,作答时长(毫秒).18,请回顾初始健康信息内容，并回答以下问题,作答时长(毫秒).27,您现在认为该健康信息的可信度如何？,作答时长(毫秒).28,您是否愿意分享该健康信息？.4,作答时长(毫秒).29,观看信息前后，您的观点是否发生变化？,作答时长(毫秒).30
6.0,谣言信息1 展示,辟谣信息1d,2715,18-30岁,782,本科,1094,0,1,0,1,0,1,0,0,1637,1,1000,是,3616,5,4563,3,2995,非常不满意,1696,4,3129,7,1812,1,12660,是,785,6,942,5,507,1,1000,4,1721,7,1538,完全改变观点，现在完全不相信,3245
7.0,谣言信息1 展示,辟谣信息1d,2467,18岁以下,206,初中及以下,784,0,1,1,0,0,0,0,0,1649,1,1000,是,2755,5,914,3,351,非常不满意,652,5,3099,5,215,1,30279,是,16395,6,998,6,284,1,1000,6,9599,4,375,完全没有变化，仍然相信,3764
47.0,谣言信息1 展示,辟谣信息1d,1966,41-50岁,1108,高中/中专,3028,0,0,0,1,0,0,0,0,1842,1,1000,否,5815,5,1814,5,731,非常不满意,2124,6,1070,5,9302,1,47944,是,7788,5,3135,4,1361,1,1000,5,8249,5,1079,观点发生明显变化，现在不太相信,2654
48.0,谣言信息1 展示,辟谣信息1d,1013,31-40岁,996,硕士及以上,1308,0,0,1,0,0,0,0,0,4301,1,1000,是,3585,7,3330,6,465,非常不满意,939,7,3634,5,397,1,16279,是,1616,5,1252,5,297,1,1000,6,8763,6,650,观点发生明显变化，现在不太相信,1300
58.0,谣言信息1 展示,辟谣信息1d,775,31-40岁,473,本科,1060,0,0,0,1,0,0,0,0,789,1,1000,是,2684,7,1773,5,497,非常不满意,815,3,3156,6,365,1,3494,是,10152,7,991,5,246,1,1000,7,1831,5,230,有些动摇，但仍倾向相信,985
66.0,谣言信息1 展示,辟谣信息1d,2284,31-40岁,267,高中/中专,3001,1,0,0,0,0,0,0,0,937,1,1000,否,344,6,2773,5,882,非常不满意,639,5,9520,7,286,1,6510,是,783,7,1166,6,353,1,1000,6,3563,7,575,有些动摇，但仍倾向相信,2297
125.0,谣言信息1 展示,辟谣信息1d,1255,31-40岁,814,高中/中专,1313,0,1,0,1,1,0,0,0,1963,1,1000,是,3505,5,1955,4,698,非常不满意,2636,3,5220,5,296,1,17051,是,10232,3,589,4,343,1,1000,3,3567,4,305,观点发生明显变化，现在不太相信,1406
193.0,谣言信息1 展示,辟谣信息1d,14573,31-40岁,537,本科,545,0,1,1,1,0,1,0,0,1561,1,1000,是,5422,6,555,6,1041,非常不满意,1050,6,6147,6,1034,1,62486,是,29704,7,548,7,1044,1,1000,6,6112,7,1037,完全没有变化，仍然相信,6099
203.0,谣言信息1 展示,辟谣信息1d,14705,51-60岁,547,初中及以下,543,1,1,0,1,1,1,1,0,2218,1,1000,是,5451,6,542,7,1052,非常不满意,1072,7,6154,7,1050,1,62519,是,29712,7,550,6,1046,1,1000,7,6097,6,1039,完全没有变化，仍然相信,6105
205.0,谣言信息1 展示,辟谣信息1d,14698,60岁以上,545,高中/中专,545,1,1,1,1,1,1,0,0,2228,1,1000,是,5437,7,546,7,1042,非常不满意,1059,6,6168,6,1061,1,62522,是,29700,6,546,7,1040,1,1000,7,6107,7,1032,完全没有变化，仍然相信,6101
210.0,谣言信息1 展示,辟谣信息1d,14289,60岁以上,556,初中及以下,548,1,1,0,1,1,0,1,0,1938,1,1000,是,5428,7,550,7,1044,非常不满意,1058,7,6144,6,1050,1,62506,是,29724,7,545,6,1046,1,1000,7,6111,6,1053,完全没有变化，仍然相信,6097
268.0,谣言信息1 展示,辟谣信息1d,14817,60岁以上,558,高中/中专,542,0,1,1,0,1,1,0,0,1578,1,1000,是,5417,7,542,7,1043,非常不满意,1056,6,6145,6,1055,1,62540,是,29692,6,538,6,1035,1,1000,6,6093,6,1038,完全没有变化，仍然相信,6092
278.0,谣言信息1 展示,辟谣信息1d,14689,41-50岁,540,本科,557,1,1,0,0,0,0,1,0,1215,1,1000,是,5423,7,546,6,1047,非常不满意,1056,7,6151,7,1038,1,62524,是,29709,6,541,7,1045,1,1000,6,6100,6,1042,完全没有变化，仍然相信,6097
279.0,谣言信息1 展示,辟谣信息1d,14668,60岁以上,546,本科,547,0,0,1,1,1,1,1,0,1918,1,1000,是,5412,7,579,6,1044,非常不满意,1056,7,6128,7,1040,1,62550,是,29711,6,546,7,1047,1,1000,6,6111,6,1042,完全没有变化，仍然相信,6085
