Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡对身体有害，有致癌风险。,作答时长(毫秒).31,您是否曾见过包含以上内容的信息？.5,作答时长(毫秒).32,您认为这条信息的可信度如何？.1,作答时长(毫秒).33,如果您在社交媒体上看到此类信息，您会传播吗？,作答时长(毫秒).34,本题检测是否真人作答.1,作答时长(毫秒).35,您是否担心喝咖啡对自身健康可能产生的负面影响？,作答时长(毫秒).36,您认为喝咖啡可能对健康造成多大的危害？,作答时长(毫秒).37,观看以下信息并回答问题.4,作答时长(毫秒).38,您是否曾见过包含以上内容的信息？.6,作答时长(毫秒).39,您认为这条健康信息的可信度如何？.4,作答时长(毫秒).40,您是否愿意分享该健康信息？.5,作答时长(毫秒).41,请回顾初始健康信息并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡会致癌。,作答时长(毫秒).54,您现在认为这条信息的可信度如何？,作答时长(毫秒).55,您是否愿意分享该健康信息？.9,作答时长(毫秒).56,观看信息前后，您的观点是否发生变化？.1,作答时长(毫秒).57
4.0,谣言信息2 展示,辟谣信息2a,5953,31-40岁,294,高中/中专,1007,0,1,1,1,0,1,0,0,2500,1,1000,是,2442,5,784,3,1180,非常不满意,1115,5,4303,6,369,1,1000,是,1985,6,309,5,702,1,1000,3,1685,6,209,有些动摇，但仍倾向相信,1689
51.0,谣言信息2 展示,辟谣信息2a,5163,31-40岁,1420,本科,1411,0,1,1,0,0,1,0,0,4742,1,1000,是,3657,5,2854,4,3594,非常不满意,3908,5,7666,6,507,1,1000,是,4447,5,993,4,564,1,1000,6,2996,4,410,有些动摇，但仍倾向相信,2069
88.0,谣言信息2 展示,辟谣信息2a,2242,41-50岁,1416,初中及以下,1310,0,1,0,1,0,1,0,0,7205,1,1000,是,5980,4,3020,5,659,非常不满意,1398,6,5911,5,3371,1,1000,是,2798,5,1111,6,1550,1,1000,6,2773,4,344,,
108.0,谣言信息2 展示,辟谣信息2a,1240,31-40岁,805,硕士及以上,1903,0,0,1,0,1,0,0,0,1511,1,1000,是,4199,6,1691,7,459,非常不满意,599,6,3482,4,613,1,1000,是,2136,5,1008,6,343,1,1000,6,1963,5,386,有些动摇，但仍倾向相信,1375
153.0,谣言信息2 展示,辟谣信息2a,3451,31-40岁,6644,高中/中专,1942,0,1,0,0,0,0,0,0,6988,1,1000,是,7588,4,2998,2,13428,非常不满意,10997,3,4627,4,2216,1,1000,否,3357,4,5784,3,1108,1,1000,5,2724,4,2040,,
218.0,谣言信息2 展示,辟谣信息2a,14744,31-40岁,543,本科,555,0,1,1,1,0,1,0,0,1573,1,1000,是,5408,6,550,6,1035,非常不满意,1048,6,6176,6,1034,1,1000,是,21122,7,550,7,1043,1,1000,7,6092,7,1032,完全没有变化，仍然相信,6080
244.0,谣言信息2 展示,辟谣信息2a,14394,18-30岁,540,硕士及以上,540,1,1,1,1,0,1,0,0,1877,1,1000,是,5423,7,550,7,1034,非常不满意,1051,7,6135,7,1032,1,1000,是,21098,6,537,6,1041,1,1000,6,6101,6,1029,完全没有变化，仍然相信,6074
245.0,谣言信息2 展示,辟谣信息2a,14556,31-40岁,547,初中及以下,556,0,1,1,0,1,0,1,0,1600,1,1000,是,5395,6,553,6,1036,非常不满意,1053,6,6128,6,1039,1,1000,是,21090,6,542,6,1035,1,1000,6,6078,6,1043,完全没有变化，仍然相信,6098
253.0,谣言信息2 展示,辟谣信息2a,14679,60岁以上,555,本科,549,0,0,1,1,1,0,0,0,1234,1,1000,是,5420,6,541,6,1033,非常不满意,1045,6,6142,6,1046,1,1000,是,21102,6,545,6,1032,1,1000,6,6076,6,1043,完全没有变化，仍然相信,6094
264.0,谣言信息2 展示,辟谣信息2a,14287,41-50岁,553,初中及以下,555,1,1,0,1,1,1,1,0,2261,1,1000,是,5431,7,546,6,1042,非常不满意,1072,6,6131,6,1044,1,1000,是,21098,6,541,7,1041,1,1000,7,6094,6,1040,完全没有变化，仍然相信,6089
