Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡对身体有害，有致癌风险。,作答时长(毫秒).31,您是否曾见过包含以上内容的信息？.5,作答时长(毫秒).32,您认为这条信息的可信度如何？.1,作答时长(毫秒).33,如果您在社交媒体上看到此类信息，您会传播吗？,作答时长(毫秒).34,本题检测是否真人作答.1,作答时长(毫秒).35,您是否担心喝咖啡对自身健康可能产生的负面影响？,作答时长(毫秒).36,您认为喝咖啡可能对健康造成多大的危害？,作答时长(毫秒).37,观看以下信息并回答问题.5,作答时长(毫秒).42,您是否曾见过包含以上内容的信息？.7,作答时长(毫秒).43,您认为这条健康信息的可信度如何？.5,作答时长(毫秒).44,您是否愿意分享该健康信息？.6,作答时长(毫秒).45,请回顾初始健康信息并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡会致癌。,作答时长(毫秒).54,您现在认为这条信息的可信度如何？,作答时长(毫秒).55,您是否愿意分享该健康信息？.9,作答时长(毫秒).56,观看信息前后，您的观点是否发生变化？.1,作答时长(毫秒).57
116.0,谣言信息2 展示,辟谣信息2b,1153,18-30岁,1655,高中/中专,1861,0,1,0,1,0,0,0,0,7620,1,1000,是,5460,3,1633,5,1890,非常不满意,861,5,6682,5,789,1,1000,是,5720,5,1445,4,414,1,1000,5,6867,5,577,,
117.0,谣言信息2 展示,辟谣信息2b,1030,31-40岁,240,本科,905,0,1,0,0,0,0,0,0,312,1,1000,是,3544,2,373,2,1001,非常不满意,3057,5,10155,5,342,1,1000,否,2116,4,270,4,383,1,1000,6,1412,6,433,,
119.0,谣言信息2 展示,辟谣信息2b,2066,18-30岁,1341,本科,1841,0,1,1,0,1,0,0,0,8830,1,1000,是,3959,5,809,6,935,非常不满意,2067,5,4461,7,712,1,1000,是,6478,5,524,4,1462,1,1000,5,2830,6,954,完全没有变化，仍然相信,3066
143.0,谣言信息2 展示,辟谣信息2b,1599,18-30岁,968,本科,2064,0,0,1,0,0,0,0,0,1547,1,1000,是,5065,5,7907,3,3715,非常不满意,908,3,10985,3,927,1,1000,是,5236,1,2114,2,1151,1,1000,4,2596,3,1296,有些动摇，但仍倾向相信,1904
148.0,谣言信息2 展示,辟谣信息2b,1599,31-40岁,385,高中/中专,979,0,0,0,0,1,0,0,0,1569,1,1000,是,3598,5,1178,3,6628,非常不满意,1259,4,273,3,4972,1,1000,是,3223,4,610,4,265,1,1000,5,1785,3,279,有些动摇，但仍倾向相信,1550
154.0,谣言信息2 展示,辟谣信息2b,3899,31-40岁,1273,本科,2031,0,1,0,0,0,0,0,0,7567,1,1000,是,5728,4,1984,3,7420,非常不满意,1552,6,24019,7,2325,1,1000,否,3292,4,663,5,715,1,1000,6,3876,3,3331,,
159.0,谣言信息2 展示,辟谣信息2b,7809,31-40岁,2874,高中/中专,1154,0,0,1,0,0,0,0,0,863,1,1000,否,28804645,6,762,6,298,非常不满意,1112,6,2234,6,330,1,1000,是,3278,6,1348,6,246,1,1000,6,1105,6,1675,有些动摇，但仍倾向相信,1034
166.0,谣言信息2 展示,辟谣信息2b,14619,60岁以上,547,初中及以下,551,1,0,0,1,0,1,1,0,1609,1,1000,是,5429,7,554,7,1053,非常不满意,1066,7,6136,6,1043,1,1000,是,21094,6,540,6,1044,1,1000,6,6096,6,1036,完全没有变化，仍然相信,6089
183.0,谣言信息2 展示,辟谣信息2b,14664,31-40岁,540,硕士及以上,572,0,0,1,1,1,0,0,0,1222,1,1000,是,5399,6,550,6,1038,非常不满意,1058,6,6153,6,1046,1,1000,是,21139,7,553,7,1064,1,1000,7,6103,7,1042,完全没有变化，仍然相信,6102
199.0,谣言信息2 展示,辟谣信息2b,14772,60岁以上,547,本科,558,1,0,0,0,1,1,1,0,1553,1,1000,是,5435,6,553,6,1048,非常不满意,1076,6,6185,6,1050,1,1000,是,21099,6,541,6,1041,1,1000,6,6085,6,1034,完全没有变化，仍然相信,6084
