Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡对身体有害，有致癌风险。,作答时长(毫秒).31,您是否曾见过包含以上内容的信息？.5,作答时长(毫秒).32,您认为这条信息的可信度如何？.1,作答时长(毫秒).33,如果您在社交媒体上看到此类信息，您会传播吗？,作答时长(毫秒).34,本题检测是否真人作答.1,作答时长(毫秒).35,您是否担心喝咖啡对自身健康可能产生的负面影响？,作答时长(毫秒).36,您认为喝咖啡可能对健康造成多大的危害？,作答时长(毫秒).37,观看以下信息并回答问题.6,作答时长(毫秒).46,您是否曾见过包含以上内容的信息？.8,作答时长(毫秒).47,您认为这条健康信息的可信度如何？.6,作答时长(毫秒).48,您是否愿意分享该健康信息？.7,作答时长(毫秒).49,请回顾初始健康信息并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡会致癌。,作答时长(毫秒).54,您现在认为这条信息的可信度如何？,作答时长(毫秒).55,您是否愿意分享该健康信息？.9,作答时长(毫秒).56,观看信息前后，您的观点是否发生变化？.1,作答时长(毫秒).57
21.0,谣言信息2 展示,辟谣信息2c,4029,31-40岁,1250,本科,2079,0,1,1,0,0,0,0,0,3128,1,1000,是,2350,5,5654,3,585,非常不满意,3295,5,20840,7,353,1,39709,是,2214,6,1457,7,520,1,1000,6,4329,5,1051,有些动摇，但仍倾向相信,2985
33.0,谣言信息2 展示,辟谣信息2c,1859,18岁以下,680,高中/中专,1942,0,1,0,0,0,0,0,0,1037,1,1000,是,2723,5,1163,6,1438,非常不满意,333,4,1793,5,385,1,22278,是,1626,5,457,4,618,1,1000,4,4374,6,465,有些动摇，但仍倾向相信,1393
55.0,谣言信息2 展示,辟谣信息2c,804,18-30岁,574,本科,1651,0,1,0,0,0,0,0,0,971,1,1000,是,3751,6,584,5,816,非常不满意,3151,6,11303,5,399,1,35415,是,1735,6,566,6,1684,1,1000,6,3265,5,1281,观点发生明显变化，现在不太相信,1447
171.0,谣言信息2 展示,辟谣信息2c,13827,60岁以上,544,本科,544,0,0,1,1,0,1,1,0,1583,1,1000,是,5427,6,548,6,1037,非常不满意,1059,7,6152,7,1042,1,52345,是,39870,6,537,6,1038,1,1000,6,6112,6,1061,完全没有变化，仍然相信,6116
173.0,谣言信息2 展示,辟谣信息2c,14836,18-30岁,575,初中及以下,556,1,1,0,0,1,1,1,0,1913,1,1000,是,5403,7,550,6,1044,非常不满意,1053,6,6152,6,1056,1,52328,是,39882,6,537,6,1042,1,1000,6,6094,6,1032,完全没有变化，仍然相信,6089
186.0,谣言信息2 展示,辟谣信息2c,15015,18-30岁,548,本科,554,0,1,0,1,0,1,1,0,1572,1,1000,是,5435,6,551,6,1035,非常不满意,1056,6,6133,6,1043,1,52337,是,39875,6,536,6,1032,1,1000,6,6100,6,1033,完全没有变化，仍然相信,6086
207.0,谣言信息2 展示,辟谣信息2c,14654,60岁以上,552,高中/中专,544,1,0,1,0,1,1,1,0,1933,1,1000,是,5418,6,549,6,1048,非常不满意,1046,6,6144,6,1041,1,52342,是,39871,6,538,6,1037,1,1000,6,6098,6,1046,完全没有变化，仍然相信,6088
208.0,谣言信息2 展示,辟谣信息2c,14166,18-30岁,550,高中/中专,556,0,1,1,0,1,0,1,0,1577,1,1000,是,5409,6,568,6,1040,非常不满意,1051,6,6154,6,1042,1,52326,是,39875,6,542,6,1032,1,1000,6,6101,6,1035,完全没有变化，仍然相信,6086
240.0,谣言信息2 展示,辟谣信息2c,14839,31-40岁,552,高中/中专,557,0,1,0,1,0,1,1,0,1558,1,1000,是,5412,6,547,6,1039,非常不满意,1045,7,6135,6,1045,1,52331,是,39848,6,542,6,1038,1,1000,6,6102,6,1045,完全没有变化，仍然相信,6078
242.0,谣言信息2 展示,辟谣信息2c,14692,51-60岁,549,高中/中专,546,1,1,1,1,1,0,0,0,1908,1,1000,是,5404,7,546,7,1048,非常不满意,1046,7,6136,7,1052,1,52356,是,39857,6,540,6,1047,1,1000,6,6100,6,1040,完全没有变化，仍然相信,6079
