Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡对身体有害，有致癌风险。,作答时长(毫秒).31,您是否曾见过包含以上内容的信息？.5,作答时长(毫秒).32,您认为这条信息的可信度如何？.1,作答时长(毫秒).33,如果您在社交媒体上看到此类信息，您会传播吗？,作答时长(毫秒).34,本题检测是否真人作答.1,作答时长(毫秒).35,您是否担心喝咖啡对自身健康可能产生的负面影响？,作答时长(毫秒).36,您认为喝咖啡可能对健康造成多大的危害？,作答时长(毫秒).37,观看以下信息并回答问题.7,作答时长(毫秒).50,您是否曾见过包含以上内容的信息？.9,作答时长(毫秒).51,您认为这条健康信息的可信度如何？.7,作答时长(毫秒).52,您是否愿意分享该健康信息？.8,作答时长(毫秒).53,请回顾初始健康信息并回答问题。咖啡豆在烘焙中确实会产生丙烯酰胺，而丙烯酰胺是国际癌症研究机构认定的二类致癌物质。因此喝咖啡会致癌。,作答时长(毫秒).54,您现在认为这条信息的可信度如何？,作答时长(毫秒).55,您是否愿意分享该健康信息？.9,作答时长(毫秒).56,观看信息前后，您的观点是否发生变化？.1,作答时长(毫秒).57
2.0,谣言信息2 展示,辟谣信息2d,1243,31-40岁,1160,本科,1801,0,1,0,1,0,1,1,0,2021,1,1000,否,3802,3,2606,5,438,非常不满意,922,3,4275,6,432,1,10681,否,2903,4,1256,6,524,1,1000,4,3095,6,396,,
19.0,谣言信息2 展示,辟谣信息2d,1151,31-40岁,339,初中及以下,1460,0,0,1,0,0,0,0,0,1388,1,1000,是,2625,6,1852,4,249,非常不满意,406,7,5185,5,596,1,10608,是,2496,3,424,5,2447,1,1000,5,3840,6,1897,有些动摇，但仍倾向相信,1226
35.0,谣言信息2 展示,辟谣信息2d,1230,18-30岁,256,高中/中专,1963,0,0,1,0,0,0,0,0,274,1,1000,是,4951,5,1349,3,1207,非常不满意,1357,2,1597,2,218,1,15611,是,2301,1,465,2,674,1,1000,1,3638,2,232,有些动摇，但仍倾向相信,1369
37.0,谣言信息2 展示,辟谣信息2d,1629,31-40岁,837,本科,1355,0,0,1,0,0,0,0,0,1054,1,1000,是,11590,5,3272,3,382,非常不满意,2740,6,6876,4,815,1,9432,是,2468,6,1343,4,370,1,1000,6,5026,4,275,有些动摇，但仍倾向相信,2906
41.0,谣言信息2 展示,辟谣信息2d,1086,31-40岁,379,高中/中专,898,0,0,1,0,0,0,0,0,823,1,1000,是,328,6,3778,7,3441,非常不满意,1173,6,3453,7,315,1,9305,是,6659,6,1056,5,262,1,1000,6,3331,7,315,有些动摇，但仍倾向相信,1154
42.0,谣言信息2 展示,辟谣信息2d,588,31-40岁,243,硕士及以上,597,1,0,0,1,0,0,0,0,1184,1,1000,否,1444,5,775,7,826,非常不满意,334,6,189,4,2001,1,4491,是,612,6,501,5,430,1,1000,7,260,5,1653,观点发生明显变化，现在不太相信,899
53.0,谣言信息2 展示,辟谣信息2d,588,18-30岁,1122,本科,1403,0,0,0,1,0,0,0,0,221,1,1000,是,2108,5,716,3,589,非常不满意,537,7,213,7,1032,1,5937,是,979,7,390,6,1155,1,1000,7,1591,5,272,观点发生明显变化，现在不太相信,1511
65.0,谣言信息2 展示,辟谣信息2d,981,31-40岁,480,高中/中专,1206,0,1,0,0,0,0,0,0,300,1,1000,是,2840,3,928,5,434,非常不满意,1425,2,1229,3,446,1,11858,是,1854,6,610,4,1027,1,1000,3,6494,3,387,,
67.0,谣言信息2 展示,辟谣信息2d,3912,31-40岁,844,本科,807,0,0,1,1,0,0,0,0,1446,1,1000,是,8033,5,1403,3,901,非常不满意,2315,6,5619,4,933,1,11960,是,3811,5,2298,4,328,1,1000,5,455,4,9207,有些动摇，但仍倾向相信,1882
68.0,谣言信息2 展示,辟谣信息2d,377,41-50岁,1394,高中/中专,2865,0,0,1,0,0,0,0,0,2473,1,1000,是,3929,7,396,6,1745,非常不满意,658,7,16364,5,496,1,5950,是,2438,6,637,5,1926,1,1000,6,3643,7,275,完全没有变化，仍然相信,1487
98.0,谣言信息2 展示,辟谣信息2d,1393,31-40岁,1345,高中/中专,2416,0,0,1,0,0,0,0,0,1255,1,1000,是,8533,5,2953,3,14421,非常不满意,4397,6,6210,4,740,1,49465,是,2653,5,1465,5,2212,1,1000,4,3181,3,433,有些动摇，但仍倾向相信,2825
105.0,谣言信息2 展示,辟谣信息2d,1491,31-40岁,567,初中及以下,2884,1,0,1,0,1,0,0,0,4539,1,1000,是,8754,5,1376,3,499,非常不满意,6127,7,745,4,6456,1,17456,是,12729,7,2153,7,952,1,1000,6,3247,5,444,观点发生明显变化，现在不太相信,3191
138.0,谣言信息2 展示,辟谣信息2d,1878,31-40岁,1051,本科,1750,1,0,0,0,0,0,0,0,3713,1,1000,是,8647,4,1914,3,1997,非常不满意,4636,3,4148,4,3489,1,14474,是,2911,4,4169,3,558,1,1000,4,3846,3,1078,,
163.0,谣言信息2 展示,辟谣信息2d,14753,60岁以上,556,本科,550,1,0,1,0,1,1,1,0,1927,1,1000,是,5443,6,561,6,1033,非常不满意,1062,6,6160,6,1054,1,63677,是,28539,7,541,7,1039,1,1000,7,6100,6,1043,完全没有变化，仍然相信,6095
224.0,谣言信息2 展示,辟谣信息2d,14742,31-40岁,564,初中及以下,542,1,1,0,0,0,1,1,0,1551,1,1000,是,5431,7,550,6,1040,非常不满意,1070,6,6166,6,1053,1,63660,是,28545,6,573,6,1058,1,1000,6,6126,6,1036,完全没有变化，仍然相信,6106
250.0,谣言信息2 展示,辟谣信息2d,14778,31-40岁,548,高中/中专,546,0,1,1,0,0,1,1,0,1547,1,1000,是,5406,6,553,6,1042,非常不满意,1056,7,6150,7,1045,1,63666,是,28563,7,536,6,1035,1,1000,7,6082,6,1041,完全没有变化，仍然相信,6089
262.0,谣言信息2 展示,辟谣信息2d,14089,41-50岁,548,硕士及以上,548,1,0,1,0,1,1,1,0,1936,1,1000,是,5426,6,582,6,1057,非常不满意,1064,6,6143,7,1039,1,63689,是,28538,6,545,7,1049,1,1000,7,6096,7,1040,完全没有变化，仍然相信,6106
328.0,谣言信息2 展示,辟谣信息2d,14629,31-40岁,543,硕士及以上,557,1,0,0,1,1,1,0,0,1590,1,1000,是,5429,7,546,7,1043,非常不满意,1053,6,6158,6,1066,1,63700,是,28562,7,544,7,1031,1,1000,6,6101,6,1055,完全没有变化，仍然相信,6099
334.0,谣言信息2 展示,辟谣信息2d,14714,18-30岁,551,初中及以下,555,1,0,1,1,0,0,0,0,1216,1,1000,是,5432,6,537,6,1036,非常不满意,1050,6,6149,6,1036,1,63658,是,28541,6,549,7,1054,1,1000,7,6100,6,1039,完全没有变化，仍然相信,6105
348.0,谣言信息2 展示,辟谣信息2d,14537,18-30岁,544,初中及以下,548,1,0,1,1,1,0,1,0,1887,1,1000,是,5773,7,667,6,1065,非常不满意,1059,6,6151,6,1038,1,63648,是,28540,7,539,6,1033,1,1000,6,6106,6,1037,完全没有变化，仍然相信,6100
370.0,谣言信息2 展示,辟谣信息2d,987,18-30岁,936,本科,2293,0,1,1,0,0,0,0,0,1804,1,1000,是,3548,5,1177,5,267,非常不满意,1293,4,2710,5,738,1,26818,是,2733,5,1340,6,1048,1,1000,6,4239,5,535,有些动摇，但仍倾向相信,6851
375.0,谣言信息2 展示,辟谣信息2d,1068,41-50岁,322,本科,969,0,0,0,1,0,0,0,0,1427,1,1000,否,3311,6,331,3,1699,非常不满意,732,1,5061,3,396,1,6398,否,2195,6,284,5,431,1,1000,6,414,5,4088,观点发生明显变化，现在不太相信,1416
376.0,谣言信息2 展示,辟谣信息2d,5126,31-40岁,1062,高中/中专,3782,0,0,0,1,0,0,0,0,2159,1,1000,是,5722,5,1093,5,3429,非常不满意,1191,5,1070,5,3275,1,45605,否,3833,5,2872,5,4437,1,1000,5,4000,6,3249,观点发生明显变化，现在不太相信,4194
401.0,谣言信息2 展示,辟谣信息2d,1509,18-30岁,103,本科,1441,0,1,0,1,0,0,0,0,1395,1,1000,是,3238,6,1335,5,363,非常不满意,395,6,3507,5,604,1,9965,是,1553,2,465,5,1402,1,1000,6,5782,4,563,有些动摇，但仍倾向相信,1371
435.0,谣言信息2 展示,辟谣信息2d,5978,31-40岁,721,高中/中专,2964,0,0,1,0,0,0,0,0,1887,1,1000,是,3738,5,1685,3,864,非常不满意,1227,6,5459,4,405,1,57610,否,6527,6,827,4,446,1,1000,6,4773,5,424,有些动摇，但仍倾向相信,1826
469.0,谣言信息2 展示,辟谣信息2d,877,31-40岁,237,高中/中专,674,0,0,1,0,0,0,0,0,1062,1,1000,是,2956,6,279,4,1084,非常不满意,429,5,1768,4,763,1,14203,是,2147,4,1513,4,265,1,1000,4,2586,4,272,有些动摇，但仍倾向相信,1705
480.0,谣言信息2 展示,辟谣信息2d,991,31-40岁,290,高中/中专,774,0,1,0,0,0,0,0,0,685,1,1000,是,2591,5,876,3,311,非常不满意,1890,6,1315,3,267,1,21624,是,1360,5,738,3,348,1,1000,5,3334,3,305,有些动摇，但仍倾向相信,1338
531.0,谣言信息2 展示,辟谣信息2d,20068,60岁以上,585,初中及以下,576,1,0,1,0,1,0,1,0,3796,1,1000,是,6216,3,612,3,1110,非常不满意,1126,4,5692,3,1086,1,49858,是,18583,2,575,4,1062,1,1000,5,6214,3,1073,,
598.0,谣言信息2 展示,辟谣信息2d,19716,60岁以上,615,高中/中专,592,1,0,1,1,0,0,1,0,3825,1,1000,是,6205,2,581,2,1087,非常不满意,1081,2,5715,1,1090,1,49837,是,18568,3,606,2,1080,1,1000,4,6180,5,1113,,
617.0,谣言信息2 展示,辟谣信息2d,19785,41-50岁,614,本科,606,1,0,1,0,0,1,1,0,3789,1,1000,是,6200,7,586,7,1085,非常不满意,1062,7,5640,7,1069,1,49785,是,18587,7,572,7,1054,1,1000,6,6192,6,1061,完全没有变化，仍然相信,6146
626.0,谣言信息2 展示,辟谣信息2d,19927,18-30岁,617,硕士及以上,633,1,1,0,1,1,0,0,0,3851,1,1000,是,6206,6,572,6,1069,非常不满意,1063,6,5644,6,1072,1,49764,是,18572,6,573,7,1073,1,1000,6,6156,6,1051,完全没有变化，仍然相信,6161
630.0,谣言信息2 展示,辟谣信息2d,19479,18-30岁,599,高中/中专,598,0,0,1,1,0,0,1,0,2777,1,1000,是,6212,7,598,7,1124,非常不满意,1185,7,5675,7,1080,1,49826,是,18572,6,586,7,1110,1,1000,6,6208,6,1064,完全改变观点，现在完全不相信,6159
636.0,谣言信息2 展示,辟谣信息2d,19643,31-40岁,726,初中及以下,589,0,1,0,1,1,1,0,0,4104,1,1000,是,6221,6,601,6,1077,非常不满意,1082,6,5656,6,1067,1,49774,是,18574,6,572,6,1068,1,1000,7,6173,6,1086,有些动摇，但仍倾向相信,6166
682.0,谣言信息2 展示,辟谣信息2d,19941,51-60岁,584,本科,575,0,0,1,0,1,1,1,0,3789,1,1000,是,6229,4,569,5,1069,非常不满意,1062,4,5672,4,1082,1,49887,是,18591,2,571,3,1079,1,1000,3,6158,5,1080,,
704.0,谣言信息2 展示,辟谣信息2d,19692,18-30岁,602,硕士及以上,591,1,0,1,1,1,0,0,0,3828,1,1000,是,6218,7,596,7,1124,非常不满意,1068,4,5675,7,1091,1,49802,是,18586,5,586,3,1067,1,1000,3,6180,3,1064,观点发生明显变化，现在不太相信,6171
706.0,谣言信息2 展示,辟谣信息2d,19786,18-30岁,576,高中/中专,573,0,1,0,0,1,1,0,0,2730,1,1000,是,6223,7,576,5,1086,非常不满意,1070,4,5653,2,1075,1,49773,是,18596,4,577,5,1104,1,1000,4,6192,5,1100,完全没有变化，仍然相信,6165
709.0,谣言信息2 展示,辟谣信息2d,19703,60岁以上,579,高中/中专,574,1,0,0,1,1,1,0,0,3791,1,1000,是,6222,7,577,7,1103,非常不满意,1074,7,5686,6,1102,1,49768,是,18576,7,608,7,1069,1,1000,6,6164,7,1075,完全没有变化，仍然相信,6167
730.0,谣言信息2 展示,辟谣信息2d,19862,31-40岁,589,高中/中专,573,1,0,0,1,1,1,1,0,4840,1,1000,是,6205,6,574,6,1067,非常不满意,1076,6,5640,6,1059,1,49773,是,18590,6,574,6,1076,1,1000,6,6184,6,1073,完全没有变化，仍然相信,6162
772.0,谣言信息2 展示,辟谣信息2d,19791,41-50岁,575,初中及以下,588,1,0,1,0,1,0,1,0,3768,1,1000,是,6187,7,581,6,1068,非常不满意,1054,6,5637,6,1070,1,49719,是,18604,6,578,6,1054,1,1000,7,6152,7,1062,观点发生明显变化，现在不太相信,6157
795.0,谣言信息2 展示,辟谣信息2d,19980,51-60岁,598,本科,584,0,0,1,0,0,1,1,0,2691,1,1000,是,6206,7,574,7,1066,非常不满意,1055,6,5643,6,1083,1,49820,是,18571,6,582,6,1093,1,1000,6,6170,7,1071,观点发生明显变化，现在不太相信,6176
825.0,谣言信息2 展示,辟谣信息2d,19592,31-40岁,603,高中/中专,598,0,1,1,1,0,1,1,0,4901,1,1000,是,6198,7,621,7,1098,非常不满意,1086,7,5693,7,1067,1,49817,是,18597,6,601,6,1080,1,1000,6,6192,6,1078,完全没有变化，仍然相信,6191
