Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).58,您是否曾见过包含以上内容的信息？.10,作答时长(毫秒).59,您认为这条信息的可信度如何？.2,作答时长(毫秒).60,如果您在社交媒体上看到此类信息，您会传播吗？.1,作答时长(毫秒).61,本题检测是否真人作答.2,作答时长(毫秒).62,您是否担心喝反复烧开的“千滚水”会对自己或身边人的健康产生负面影响？,作答时长(毫秒).63,您认为“千滚水”可能对健康造成多大的危害？,作答时长(毫秒).64,观看以下信息并回答问题.8,作答时长(毫秒).65,您是否曾见过包含以上内容的信息？.11,作答时长(毫秒).66,您认为这条健康信息的可信度如何？.8,作答时长(毫秒).67,您是否愿意分享该健康信息？.10,作答时长(毫秒).68,请回顾初始健康信息内容，并回答以下问题反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).81,您现在认为该健康信息的可信度如何？.1,作答时长(毫秒).82,您是否愿意分享该健康信息？.14,作答时长(毫秒).83,观看信息前后，您的观点是否发生变化？.2,作答时长(毫秒).84
49.0,谣言信息3 展示,辟谣信息3a,2878,31-40岁,204,高中/中专,760,0,0,0,1,0,0,0,0,748,1,1000,是,9742,5,6057,3,286,非常不满意,2181,4,9814,5,309,1,1000,是,1808,4,406,4,195,1,1000,4,1585,4,181,观点发生明显变化，现在不太相信,962
83.0,谣言信息3 展示,辟谣信息3a,1571,31-40岁,1398,本科,2613,0,1,0,0,0,1,0,0,6844,1,1000,是,18365,5,4595,3,819,非常不满意,6321,5,13884,5,2582,1,1000,是,13088,5,1400,3,1281,1,1000,5,656,4,18659,有些动摇，但仍倾向相信,12235
128.0,谣言信息3 展示,辟谣信息3a,1561,31-40岁,698,高中/中专,3312,0,1,0,0,0,0,0,0,1486,1,1000,是,8560,5,1281,3,1612,非常不满意,2092,6,23156,4,1002,1,1000,是,3112,4,587,6,526,1,1000,6,2689,4,332,有些动摇，但仍倾向相信,1305
145.0,谣言信息3 展示,辟谣信息3a,5039,31-40岁,486,高中/中专,741,0,0,1,0,0,0,0,0,1030,1,1000,是,27923,6,2551,6,413,非常不满意,2556,6,2392,5,289,1,1000,是,2132,6,1170,6,253,1,1000,6,1725,6,314,观点发生明显变化，现在不太相信,961
146.0,谣言信息3 展示,辟谣信息3a,1335,18岁以下,849,高中/中专,2861,1,0,1,0,0,0,0,0,1784,1,1000,是,5208,5,9429,3,1564,非常不满意,9670,3,9326,5,644,1,1000,是,3065,4,2063,5,1388,1,1000,6,2387,5,260,有些动摇，但仍倾向相信,1570
176.0,谣言信息3 展示,辟谣信息3a,399,18-30岁,953,高中/中专,1401,0,0,1,0,1,0,0,0,1622,1,1000,是,2808,6,1078,4,341,非常不满意,1294,6,602,5,4254,1,1000,是,2622,5,1568,3,484,1,1000,4,4502,6,13028,有些动摇，但仍倾向相信,1421
234.0,谣言信息3 展示,辟谣信息3a,14897,41-50岁,554,硕士及以上,540,1,0,1,1,1,1,0,0,1926,1,1000,是,5411,7,542,7,1041,非常不满意,1061,6,6142,7,1038,1,1000,是,21125,7,561,7,1039,1,1000,6,6065,7,1053,完全没有变化，仍然相信,6121
281.0,谣言信息3 展示,辟谣信息3a,1303,41-50岁,562,高中/中专,1050,0,0,0,1,0,0,0,0,1166,1,1000,是,6357,6,1026,5,481,非常不满意,2130,6,6170,6,295,1,1000,是,3084,5,399,5,411,1,1000,6,2088,4,449,观点发生明显变化，现在不太相信,15802
285.0,谣言信息3 展示,辟谣信息3a,14748,41-50岁,552,硕士及以上,554,0,0,1,1,1,0,1,0,1587,1,1000,是,5413,7,556,6,1048,非常不满意,1056,6,6140,7,1035,1,1000,是,21110,7,536,6,1038,1,1000,6,6074,6,1033,完全没有变化，仍然相信,6087
295.0,谣言信息3 展示,辟谣信息3a,14368,31-40岁,550,初中及以下,546,1,1,1,1,0,1,0,0,1936,1,1000,是,5424,7,552,7,1040,非常不满意,1065,7,6174,7,1045,1,1000,是,21099,6,542,7,1041,1,1000,7,6097,6,1039,完全没有变化，仍然相信,6090
316.0,谣言信息3 展示,辟谣信息3a,14590,31-40岁,549,初中及以下,542,0,0,1,1,1,0,1,0,1558,1,1000,是,5421,7,543,7,1031,非常不满意,1050,6,6126,6,1050,1,1000,是,21095,6,542,6,1037,1,1000,6,6116,6,1064,完全没有变化，仍然相信,6125
318.0,谣言信息3 展示,辟谣信息3a,13361,41-50岁,548,高中/中专,552,1,0,1,0,1,0,1,0,1556,1,1000,是,5422,7,541,7,1040,非常不满意,1057,7,6192,6,1040,1,1000,是,21091,6,548,6,1043,1,1000,6,6078,6,1027,完全没有变化，仍然相信,6077
340.0,谣言信息3 展示,辟谣信息3a,10807,41-50岁,542,高中/中专,554,0,1,1,1,1,1,1,0,2243,1,1000,是,5428,7,559,6,1063,非常不满意,1085,6,6172,7,1054,1,1000,是,21111,7,545,7,1039,1,1000,6,6102,6,1059,完全没有变化，仍然相信,6117
355.0,谣言信息3 展示,辟谣信息3a,14822,31-40岁,540,高中/中专,538,1,0,1,0,1,1,1,0,1907,1,1000,是,5422,7,538,7,1038,非常不满意,1046,7,6127,7,1046,1,1000,是,21084,7,537,6,1041,1,1000,6,6094,6,1044,完全没有变化，仍然相信,6100
365.0,谣言信息3 展示,辟谣信息3a,14785,41-50岁,543,本科,549,1,1,1,1,0,0,0,0,1566,1,1000,是,5445,7,554,7,1040,非常不满意,1055,6,6162,6,1034,1,1000,是,21116,6,537,6,1034,1,1000,6,6075,6,1037,完全没有变化，仍然相信,6090
387.0,谣言信息3 展示,辟谣信息3a,2092,18-30岁,475,初中及以下,1251,1,1,1,1,1,0,0,0,3327,1,1000,是,12165,7,2444,3,5345,非常不满意,327,7,58423,5,3773,1,1000,是,6732,7,2309,6,3004,1,1000,7,2978,5,1548,完全没有变化，仍然相信,1788
389.0,谣言信息3 展示,辟谣信息3a,1116,18-30岁,696,初中及以下,1729,0,1,0,0,1,0,0,0,1259,1,1000,是,12689,5,586,3,457,非常不满意,1381,4,2929,4,393,1,1000,是,2524,4,475,7,510,1,1000,4,2396,6,584,完全没有变化，仍然相信,2102
463.0,谣言信息3 展示,辟谣信息3a,4387,41-50岁,524,高中/中专,1216,0,0,0,1,0,1,0,0,1249,1,1000,是,1059,5,399,4,3691,非常不满意,2497,7,3624,7,876,1,1000,是,2774,6,1536,7,543,1,1000,6,1805,7,498,观点发生明显变化，现在不太相信,1098
475.0,谣言信息3 展示,辟谣信息3a,1468,18-30岁,1701,高中/中专,1658,0,0,0,0,1,0,0,0,2594,1,1000,是,4462,6,927,4,1350,非常不满意,1358,7,9494,6,434,1,1000,否,2947,4,736,3,313,1,1000,5,2578,4,390,观点发生明显变化，现在不太相信,1319
510.0,谣言信息3 展示,辟谣信息3a,19705,41-50岁,606,本科,605,0,1,1,1,1,1,0,0,4908,1,1000,是,6243,5,602,4,1097,非常不满意,1075,5,5660,5,1080,1,1000,是,6194,5,602,1,1086,1,1000,6,6208,6,1083,观点发生明显变化，现在不太相信,6184
