Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).58,您是否曾见过包含以上内容的信息？.10,作答时长(毫秒).59,您认为这条信息的可信度如何？.2,作答时长(毫秒).60,如果您在社交媒体上看到此类信息，您会传播吗？.1,作答时长(毫秒).61,本题检测是否真人作答.2,作答时长(毫秒).62,您是否担心喝反复烧开的“千滚水”会对自己或身边人的健康产生负面影响？,作答时长(毫秒).63,您认为“千滚水”可能对健康造成多大的危害？,作答时长(毫秒).64,观看以下信息并回答问题.9,作答时长(毫秒).69,您是否曾见过包含以上内容的信息？.12,作答时长(毫秒).70,您认为这条健康信息的可信度如何？.9,作答时长(毫秒).71,您是否愿意分享该健康信息？.11,作答时长(毫秒).72,请回顾初始健康信息内容，并回答以下问题反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).81,您现在认为该健康信息的可信度如何？.1,作答时长(毫秒).82,您是否愿意分享该健康信息？.14,作答时长(毫秒).83,观看信息前后，您的观点是否发生变化？.2,作答时长(毫秒).84
20.0,谣言信息3 展示,辟谣信息3b,1016,18-30岁,501,高中/中专,1505,0,0,1,0,1,0,0,0,1376,1,1000,是,3320,6,822,4,1537,非常不满意,740,5,4254,6,319,1,1000,是,2313,5,480,2,372,1,1000,5,2666,6,367,观点发生明显变化，现在不太相信,1153
28.0,谣言信息3 展示,辟谣信息3b,827,31-40岁,376,高中/中专,1668,1,1,0,1,0,0,0,0,4424,1,1000,是,1112,7,282,6,1622,非常不满意,3774,7,201,6,3056,1,1000,是,2821,6,338,7,446,1,1000,7,214,6,36472,观点发生明显变化，现在不太相信,1179
50.0,谣言信息3 展示,辟谣信息3b,812,18-30岁,673,硕士及以上,699,1,0,0,0,0,0,0,0,974,1,1000,是,2843,7,2260,7,620,非常不满意,646,7,3745,7,314,1,1000,是,2414,7,915,7,684,1,1000,7,2514,7,378,完全没有变化，仍然相信,1358
72.0,谣言信息3 展示,辟谣信息3b,2261,18-30岁,297,高中/中专,2903,0,0,1,0,0,1,0,0,1731,1,1000,是,2168,7,858,5,1874,非常不满意,1558,6,2764,6,460,1,1000,是,3168,5,986,7,612,1,1000,4,1921,6,532,观点发生明显变化，现在不太相信,1177
82.0,谣言信息3 展示,辟谣信息3b,13116,18岁以下,572,初中及以下,1140,1,1,1,1,1,1,1,0,5219,1,1000,是,3109,5,1113,5,431,非常不满意,1076,5,1692,5,1211,1,1000,是,3820,5,614,4,1276,1,1000,5,14178,5,2625,完全没有变化，仍然相信,2481
89.0,谣言信息3 展示,辟谣信息3b,530,18-30岁,4075,本科,3188,0,0,0,0,1,0,0,0,1446,1,1000,是,8766,7,1655,5,383,非常不满意,4435,5,2228,7,1535,1,1000,是,3495,2,798,5,942,1,1000,6,2703,4,547,观点发生明显变化，现在不太相信,1579
95.0,谣言信息3 展示,辟谣信息3b,1807,31-40岁,1754,高中/中专,2757,0,1,0,1,0,0,0,0,6362,1,1000,是,7373,5,839,3,556,非常不满意,2296,4,8464,6,902,1,1000,是,5301,5,710,3,461,1,1000,6,9568,4,1003,有些动摇，但仍倾向相信,2727
118.0,谣言信息3 展示,辟谣信息3b,1185,18岁以下,5754,初中及以下,1752,1,1,0,0,0,0,0,0,8140,1,1000,是,7790,7,1801,1,28906,非常不满意,6710,5,14890,5,643,1,1000,是,5937,7,2091,1,2065,1,1000,7,16732,1,622,完全没有变化，仍然相信,1762
136.0,谣言信息3 展示,辟谣信息3b,1039,18-30岁,1119,本科,1400,1,1,0,0,0,0,0,0,4589,1,1000,否,13959,5,1970,5,3656,非常不满意,3325,7,9750,7,1739,1,1000,否,9839,5,1786,7,2537,1,1000,5,8081,6,1609,观点发生明显变化，现在不太相信,6419
167.0,谣言信息3 展示,辟谣信息3b,14923,18-30岁,544,硕士及以上,552,1,1,0,0,0,1,1,0,1562,1,1000,是,5432,7,550,7,1040,非常不满意,1052,7,6139,7,1036,1,1000,是,21098,6,544,6,1036,1,1000,6,6091,6,1038,完全没有变化，仍然相信,6090
170.0,谣言信息3 展示,辟谣信息3b,14764,60岁以上,552,硕士及以上,535,1,1,1,1,0,0,0,0,1571,1,1000,是,5410,7,543,6,1037,非常不满意,1056,6,6136,6,1042,1,1000,是,21110,6,581,6,1050,1,1000,6,6096,6,1044,完全没有变化，仍然相信,6110
189.0,谣言信息3 展示,辟谣信息3b,14832,18-30岁,578,本科,554,0,1,1,0,1,1,0,0,1569,1,1000,是,5406,6,542,6,1041,非常不满意,1069,6,6170,6,1050,1,1000,是,21103,6,546,6,1051,1,1000,6,6090,6,1035,完全没有变化，仍然相信,6091
204.0,谣言信息3 展示,辟谣信息3b,14684,51-60岁,547,硕士及以上,539,0,1,0,1,1,1,0,0,1584,1,1000,是,5433,6,552,6,1038,非常不满意,1057,6,6161,6,1046,1,1000,是,21086,6,534,6,1033,1,1000,7,6082,6,1037,完全没有变化，仍然相信,6086
213.0,谣言信息3 展示,辟谣信息3b,14764,31-40岁,536,硕士及以上,552,1,0,1,0,0,1,1,0,1572,1,1000,是,5416,7,546,7,1041,非常不满意,1058,7,6161,7,1038,1,1000,是,21089,6,546,6,1041,1,1000,6,6089,6,1033,完全没有变化，仍然相信,6099
221.0,谣言信息3 展示,辟谣信息3b,14574,41-50岁,545,高中/中专,552,1,0,1,1,0,1,0,0,1638,1,1000,是,5441,6,562,6,1037,非常不满意,1060,6,6156,6,1061,1,1000,是,21115,6,546,6,1058,1,1000,6,6103,6,1033,完全没有变化，仍然相信,6096
288.0,谣言信息3 展示,辟谣信息3b,14132,60岁以上,544,本科,539,1,1,1,0,0,1,1,0,1920,1,1000,是,5417,6,552,6,1045,非常不满意,1061,6,6154,6,1039,1,1000,是,21098,6,544,6,1049,1,1000,6,6075,6,1046,完全没有变化，仍然相信,6087
290.0,谣言信息3 展示,辟谣信息3b,14856,31-40岁,547,初中及以下,545,0,1,1,1,0,0,1,0,1590,1,1000,是,5439,6,550,6,1031,非常不满意,1115,6,6162,7,1044,1,1000,是,21120,6,543,6,1042,1,1000,6,6085,6,1043,完全没有变化，仍然相信,6094
304.0,谣言信息3 展示,辟谣信息3b,14254,51-60岁,541,初中及以下,542,1,1,0,1,1,0,1,0,1918,1,1000,是,5428,7,547,7,1037,非常不满意,1050,7,6150,6,1043,1,1000,是,21102,7,542,7,1039,1,1000,7,6150,6,1065,完全没有变化，仍然相信,6114
315.0,谣言信息3 展示,辟谣信息3b,14407,60岁以上,549,高中/中专,545,1,0,1,0,0,1,0,0,1205,1,1000,是,5405,6,551,6,1045,非常不满意,1055,6,6121,6,1039,1,1000,是,21129,6,553,6,1033,1,1000,6,6085,6,1031,完全没有变化，仍然相信,6102
330.0,谣言信息3 展示,辟谣信息3b,14803,18-30岁,542,高中/中专,554,0,1,1,0,1,1,1,0,1908,1,1000,是,5414,7,545,7,1042,非常不满意,1047,6,6141,6,1036,1,1000,是,21095,6,558,6,1047,1,1000,6,6091,6,1034,完全没有变化，仍然相信,6103
367.0,谣言信息3 展示,辟谣信息3b,15811,31-40岁,553,本科,560,1,0,0,1,1,1,0,0,1643,1,1000,是,5433,7,561,7,1040,非常不满意,1055,6,6165,6,1052,1,1000,是,21109,6,546,6,1041,1,1000,6,6104,6,1064,完全没有变化，仍然相信,6102
368.0,谣言信息3 展示,辟谣信息3b,9517,51-60岁,574,高中/中专,554,1,0,0,1,0,1,0,0,1226,1,1000,是,5429,6,555,6,1069,非常不满意,1073,7,6187,7,1056,1,1000,是,21096,6,540,6,1030,1,1000,6,6121,6,1031,完全没有变化，仍然相信,6091
