Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).58,您是否曾见过包含以上内容的信息？.10,作答时长(毫秒).59,您认为这条信息的可信度如何？.2,作答时长(毫秒).60,如果您在社交媒体上看到此类信息，您会传播吗？.1,作答时长(毫秒).61,本题检测是否真人作答.2,作答时长(毫秒).62,您是否担心喝反复烧开的“千滚水”会对自己或身边人的健康产生负面影响？,作答时长(毫秒).63,您认为“千滚水”可能对健康造成多大的危害？,作答时长(毫秒).64,观看以下信息并回答问题.10,作答时长(毫秒).73,您是否曾见过包含以上内容的信息？.13,作答时长(毫秒).74,您认为这条健康信息的可信度如何？.10,作答时长(毫秒).75,您是否愿意分享该健康信息？.12,作答时长(毫秒).76,请回顾初始健康信息内容，并回答以下问题反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).81,您现在认为该健康信息的可信度如何？.1,作答时长(毫秒).82,您是否愿意分享该健康信息？.14,作答时长(毫秒).83,观看信息前后，您的观点是否发生变化？.2,作答时长(毫秒).84
3.0,谣言信息3 展示,辟谣信息3c,18227,18-30岁,3491,高中/中专,1537,0,1,0,0,0,0,0,0,854,1,1000,是,1906,5,559,4,2454,非常不满意,3998,4,4919,5,424,1,8732,是,2971,5,289,6,415,1,1000,4,3388,4,438,有些动摇，但仍倾向相信,2671
40.0,谣言信息3 展示,辟谣信息3c,630,31-40岁,206,本科,644,1,0,0,1,1,0,0,0,1203,1,1000,否,2472,6,260,6,615,非常不满意,1237,6,258,6,2582,1,3454,否,1327,5,1108,6,659,1,1000,6,196,5,3039,观点发生明显变化，现在不太相信,15921
62.0,谣言信息3 展示,辟谣信息3c,998,18-30岁,1322,高中/中专,836,1,0,0,0,0,0,0,0,1088,1,1000,是,2354,5,1050,6,488,非常不满意,795,3,1768,5,447,1,37279,是,2013,5,1154,4,480,1,1000,4,7062,5,400,完全没有变化，仍然相信,6893
69.0,谣言信息3 展示,辟谣信息3c,1768,31-40岁,380,高中/中专,15566,0,0,1,0,0,0,0,0,868,1,1000,是,2283,5,257,3,2970,非常不满意,1867,7,10001,6,233,1,9815,是,1336,7,1558,6,207,1,1000,7,6782,6,391,观点发生明显变化，现在不太相信,1335
77.0,谣言信息3 展示,辟谣信息3c,1187,18-30岁,331,高中/中专,1667,1,0,0,0,0,0,0,0,404,1,1000,是,5063,6,383,7,1033,非常不满意,801,5,2121,6,818,1,13773,是,1826,6,394,6,1461,1,1000,7,4245,7,253,有些动摇，但仍倾向相信,1333
91.0,谣言信息3 展示,辟谣信息3c,1373,18-30岁,1629,本科,968,0,0,1,0,0,0,0,0,720,1,1000,是,3276,5,3581,3,1044,非常不满意,890,7,2993,6,1015,1,26737,否,2264,5,853,5,738,1,1000,6,2050,5,2261,观点发生明显变化，现在不太相信,1039
93.0,谣言信息3 展示,辟谣信息3c,4528,31-40岁,618,高中/中专,857,1,0,1,1,0,0,0,0,1762,1,1000,是,8140,5,667,4,1409,非常不满意,1243,5,7121,5,367,1,21719,是,4927,5,1228,5,393,1,1000,5,3663,4,327,有些动摇，但仍倾向相信,1625
103.0,谣言信息3 展示,辟谣信息3c,2792,18-30岁,826,高中/中专,1696,0,1,0,0,0,0,0,0,1552,1,1000,是,3758,6,465,7,796,非常不满意,926,7,401,7,1534,1,15120,是,3641,7,1630,5,865,1,1000,7,4530,7,479,完全没有变化，仍然相信,1799
110.0,谣言信息3 展示,辟谣信息3c,6101,31-40岁,732,高中/中专,2743,1,1,1,1,1,1,1,0,8182,1,1000,是,17546,7,3529,5,5610,非常不满意,13172,6,13063,6,3466,1,33374,否,4488,6,2075,6,1181,1,1000,6,7769,6,592,有些动摇，但仍倾向相信,7173
113.0,谣言信息3 展示,辟谣信息3c,1833,31-40岁,389,本科,1295,0,0,1,0,0,0,0,0,835,1,1000,是,5697,4,4286,6,849,非常不满意,1928,3,7932,4,384,1,30958,是,2114,4,888,5,282,1,1000,4,3668,5,278,,
