Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请阅读并回答问题。反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).58,您是否曾见过包含以上内容的信息？.10,作答时长(毫秒).59,您认为这条信息的可信度如何？.2,作答时长(毫秒).60,如果您在社交媒体上看到此类信息，您会传播吗？.1,作答时长(毫秒).61,本题检测是否真人作答.2,作答时长(毫秒).62,您是否担心喝反复烧开的“千滚水”会对自己或身边人的健康产生负面影响？,作答时长(毫秒).63,您认为“千滚水”可能对健康造成多大的危害？,作答时长(毫秒).64,观看以下信息并回答问题.11,作答时长(毫秒).77,您是否曾见过包含以上内容的信息？.14,作答时长(毫秒).78,您认为这条健康信息的可信度如何？.11,作答时长(毫秒).79,您是否愿意分享该健康信息？.13,作答时长(毫秒).80,请回顾初始健康信息内容，并回答以下问题反复烧开的水被称为千滚水，由于气化作用，这种水中的矿物质被浓缩，导致致癌物亚硝酸盐超标，危害人体健康，最好不要喝。,作答时长(毫秒).81,您现在认为该健康信息的可信度如何？.1,作答时长(毫秒).82,您是否愿意分享该健康信息？.14,作答时长(毫秒).83,观看信息前后，您的观点是否发生变化？.2,作答时长(毫秒).84
5.0,谣言信息3 展示,辟谣信息3d,1006,18-30岁,215,高中/中专,930,0,1,0,1,0,0,0,0,1216,1,1000,是,2828,5,1838,3,749,非常不满意,1319,5,5458,6,1157,1,51578,是,759,5,1049,6,192,1,1000,4,1757,5,257,有些动摇，但仍倾向相信,1107
8.0,谣言信息3 展示,辟谣信息3d,9068,31-40岁,1153,本科,1612,1,0,1,0,1,1,0,0,3185,1,1000,是,1888,5,2694,3,436,非常不满意,4582,5,8623,6,291,1,4980,是,3897,5,4084,4,267,1,1000,5,6184,4,231,观点发生明显变化，现在不太相信,2620
15.0,谣言信息3 展示,辟谣信息3d,3249,31-40岁,2261,高中/中专,2375,1,1,0,0,0,0,0,0,5544,1,1000,是,8983,5,1891,4,791,非常不满意,3683,6,7676,4,761,1,24561,是,3570,5,1268,3,436,1,1000,6,10957,4,808,有些动摇，但仍倾向相信,2251
24.0,谣言信息3 展示,辟谣信息3d,1535,18-30岁,565,本科,2347,1,0,1,0,0,0,0,0,1295,1,1000,是,3478,7,1120,5,920,非常不满意,1800,7,8477,5,498,1,10530,是,3140,5,1214,6,443,1,1000,7,4722,5,369,有些动摇，但仍倾向相信,3810
25.0,谣言信息3 展示,辟谣信息3d,1260,31-40岁,1017,高中/中专,1003,0,0,1,0,0,0,0,0,811,1,1000,是,2920,3,3507,5,758,非常不满意,2112,5,3387,7,432,1,19511,是,2832,5,1961,6,677,1,1000,5,5232,6,1153,,
36.0,谣言信息3 展示,辟谣信息3d,995,31-40岁,752,初中及以下,869,0,1,1,0,0,0,0,0,1015,1,1000,是,2629,6,1361,5,1147,非常不满意,2604,6,2798,6,714,1,5384,是,1312,7,955,6,319,1,1000,7,7151,6,237,有些动摇，但仍倾向相信,1084
38.0,谣言信息3 展示,辟谣信息3d,979,31-40岁,202,硕士及以上,666,0,1,0,0,1,0,1,0,1979,1,1000,否,2760,6,225,7,718,非常不满意,262,7,3084,6,236,1,3161,否,1523,6,797,2,198,1,1000,6,2781,5,232,观点发生明显变化，现在不太相信,752
39.0,谣言信息3 展示,辟谣信息3d,1075,31-40岁,279,高中/中专,783,0,1,0,0,1,0,0,0,1135,1,1000,是,1157,6,641,6,2995,非常不满意,1955,7,3081,6,933,1,24203,是,1872,5,1501,5,402,1,1000,5,3862,5,338,完全没有变化，仍然相信,1562
43.0,谣言信息3 展示,辟谣信息3d,3921,18-30岁,487,高中/中专,6255,0,1,0,0,0,0,0,0,1347,1,1000,是,1344,3,5261,1,399,非常不满意,4027,6,5197,6,300,1,15138,是,882,4,2638,2,2470,1,1000,4,2499,2,425,,
45.0,谣言信息3 展示,辟谣信息3d,1368,41-50岁,936,本科,1393,0,0,1,0,0,0,0,0,916,1,1000,否,2832,5,35096,3,772,非常不满意,427,7,6160,5,495,1,19441,是,1320,4,1277,5,593,1,1000,6,2526,6,631,观点发生明显变化，现在不太相信,1195
