Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请观看并回答问题,作答时长(毫秒).85,您是否曾见过包含以上内容的信息？.15,作答时长(毫秒).86,您认为这条信息的可信度如何？.3,作答时长(毫秒).87,如果您在社交媒体上看到此类信息，您会传播吗？.2,作答时长(毫秒).88,本题检测是否真人作答.3,作答时长(毫秒).89,您认为长期食用猪油可以给自己或身边人的健康带来正面影响吗？,作答时长(毫秒).90,您认为长期食用猪油可以给自己或身边人的健康带来多大好处？,作答时长(毫秒).91,观看以下信息并回答问题.12,作答时长(毫秒).92,您是否曾见过包含以上内容的信息？.16,作答时长(毫秒).93,您认为这条健康信息的可信度如何？.12,作答时长(毫秒).94,您是否愿意分享该健康信息？.15,作答时长(毫秒).95,请回顾初始健康信息并回答问题,作答时长(毫秒).108,您现在认为该健康信息的可信度如何？.2,作答时长(毫秒).109,您是否愿意分享该健康信息？.19,作答时长(毫秒).110,观看信息前后，您的观点是否发生变化？.3,作答时长(毫秒).111
75.0,谣言信息4展示,辟谣信息4a,276,51-60岁,2480,高中/中专,961,0,1,0,0,0,0,0,0,813,1,1000,是,3038,6,443,5,713,非常不满意,1193,7,4094,5,312,1,1000,是,2059,7,478,4,336,1,1000,5,3611,7,378,观点发生明显变化，现在不太相信,1130
84.0,谣言信息4展示,辟谣信息4a,2583,18-30岁,2196,初中及以下,3234,1,0,0,0,0,0,0,0,11012,1,1000,否,13707,5,3755,3,1534,非常不满意,1114,4,10080,5,1874,1,1000,否,4573,4,3763,3,658,1,1000,4,17210,4,861,有些动摇，但仍倾向相信,3770
97.0,谣言信息4展示,辟谣信息4a,857,31-40岁,1326,本科,1023,1,1,1,0,0,0,0,0,1802,1,1000,是,6437,5,635,5,1065,非常不满意,424,6,9355,4,382,1,1000,是,1955,5,547,5,698,1,1000,6,2326,6,322,观点发生明显变化，现在不太相信,1499
109.0,谣言信息4展示,辟谣信息4a,1213,18岁以下,710,初中及以下,1351,0,0,0,0,1,0,0,0,567,1,1000,是,2787,5,1673,3,446,非常不满意,936,1,68717,1,24211,1,1000,是,7189,3,8462,3,824,1,1000,7,10201,7,508,完全没有变化，仍然相信,3432
127.0,谣言信息4展示,辟谣信息4a,1226,18-30岁,327,高中/中专,914,0,1,0,0,0,0,0,0,328,1,1000,是,3200,4,2369,5,480,非常不满意,710,3,30715,5,388,1,1000,是,1513,4,307,5,900,1,1000,4,1738,5,251,,
134.0,谣言信息4展示,辟谣信息4a,1030,18-30岁,1245,高中/中专,3542,1,1,0,0,0,0,0,0,7580,1,1000,是,7088,5,1425,3,6442,非常不满意,5742,5,4517,7,801,1,1000,是,3375,5,1263,7,575,1,1000,6,4129,4,985,观点发生明显变化，现在不太相信,2923
140.0,谣言信息4展示,辟谣信息4a,1166,18-30岁,779,硕士及以上,1793,0,0,1,0,0,0,0,0,3613,1,1000,是,2617,6,5493,4,2209,非常不满意,9905,4,1067,4,12537,1,1000,是,3044,7,682,6,2088,1,1000,6,2039,6,1302,有些动摇，但仍倾向相信,1327
142.0,谣言信息4展示,辟谣信息4a,1065,31-40岁,1459,本科,1225,0,1,0,1,0,1,1,0,1619,1,1000,是,3777,4,668,6,484,非常不满意,1032,2,7267,6,830,1,1000,是,1848,3,1149,7,428,1,1000,4,3628,6,437,,
150.0,谣言信息4展示,辟谣信息4a,1030,18-30岁,251,本科,1285,1,0,0,0,0,0,0,0,1100,1,1000,是,2443,7,1105,7,588,非常不满意,989,7,1455,7,367,1,1000,是,2191,7,660,7,260,1,1000,7,2142,7,241,完全没有变化，仍然相信,2127
158.0,谣言信息4展示,辟谣信息4a,1265,60岁以上,4500,初中及以下,1370,1,0,0,0,0,0,0,0,1261,1,1000,是,7442,1,1766,1,1732,非常不满意,816,1,6477,1,1468,1,1000,是,3429,1,1336,1,388,1,1000,1,2273,1,590,,
