Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请观看并回答问题,作答时长(毫秒).85,您是否曾见过包含以上内容的信息？.15,作答时长(毫秒).86,您认为这条信息的可信度如何？.3,作答时长(毫秒).87,如果您在社交媒体上看到此类信息，您会传播吗？.2,作答时长(毫秒).88,本题检测是否真人作答.3,作答时长(毫秒).89,您认为长期食用猪油可以给自己或身边人的健康带来正面影响吗？,作答时长(毫秒).90,您认为长期食用猪油可以给自己或身边人的健康带来多大好处？,作答时长(毫秒).91,观看以下信息并回答问题.13,作答时长(毫秒).96,您是否曾见过包含以上内容的信息？.17,作答时长(毫秒).97,您认为这条健康信息的可信度如何？.13,作答时长(毫秒).98,您是否愿意分享该健康信息？.16,作答时长(毫秒).99,请回顾初始健康信息并回答问题,作答时长(毫秒).108,您现在认为该健康信息的可信度如何？.2,作答时长(毫秒).109,您是否愿意分享该健康信息？.19,作答时长(毫秒).110,观看信息前后，您的观点是否发生变化？.3,作答时长(毫秒).111
23.0,谣言信息4展示,辟谣信息4b,1484,31-40岁,1033,高中/中专,2278,0,1,0,1,0,0,0,0,1743,1,1000,是,4995,5,1321,3,421,非常不满意,1467,5,4560,3,527,1,1000,是,3983,5,1042,4,526,1,1000,6,3438,4,1868,有些动摇，但仍倾向相信,4582
26.0,谣言信息4展示,辟谣信息4b,793,18-30岁,310,本科,934,0,0,1,0,0,0,0,0,822,1,1000,否,2413,5,369,4,970,非常不满意,663,4,2965,4,301,1,1000,否,2523,5,499,4,415,1,1000,5,2399,4,351,观点发生明显变化，现在不太相信,1404
90.0,谣言信息4展示,辟谣信息4b,1414,31-40岁,805,本科,1699,0,0,1,0,1,0,0,0,2364,1,1000,是,7384,6,1012,5,400,非常不满意,1580,6,3310,6,349,1,1000,是,2824,5,664,6,318,1,1000,6,2362,6,384,有些动摇，但仍倾向相信,2979
101.0,谣言信息4展示,辟谣信息4b,3114,31-40岁,2433,本科,1407,1,1,0,0,0,0,0,0,1623,1,1000,否,5344,7,1611,4,3484,非常不满意,742,6,800,6,4156,1,1000,是,9246,6,731,6,313,1,1000,7,2096,6,410,有些动摇，但仍倾向相信,2251
121.0,谣言信息4展示,辟谣信息4b,2704,41-50岁,884,高中/中专,1701,0,1,0,1,0,1,0,0,2664,1,1000,是,4663,5,1476,3,617,非常不满意,15839,6,12045,6,627,1,1000,是,3030,6,994,5,287,1,1000,5,2352,4,337,有些动摇，但仍倾向相信,1792
164.0,谣言信息4展示,辟谣信息4b,14691,18-30岁,550,本科,556,1,1,0,1,0,1,1,0,1902,1,1000,是,5403,6,566,6,1050,非常不满意,1050,6,6154,6,1037,1,1000,是,21093,6,544,6,1039,1,1000,6,6086,7,1040,完全没有变化，仍然相信,6086
196.0,谣言信息4展示,辟谣信息4b,2252,18-30岁,1218,高中/中专,1192,0,1,0,0,0,0,0,0,1051,1,1000,是,3238,5,541,6,680,非常不满意,1100,6,44501,5,1550,1,1000,是,9700,6,1084,7,685,1,1000,6,3779,7,424,有些动摇，但仍倾向相信,3379
209.0,谣言信息4展示,辟谣信息4b,10699,51-60岁,553,初中及以下,548,0,0,1,1,1,0,1,0,1557,1,1000,是,5407,7,556,6,1055,非常不满意,1086,6,6172,6,1048,1,1000,是,21108,6,536,6,1035,1,1000,6,6079,6,1034,完全没有变化，仍然相信,6131
222.0,谣言信息4展示,辟谣信息4b,14158,18-30岁,539,高中/中专,538,0,1,0,1,1,0,1,0,1546,1,1000,是,5419,6,549,6,1043,非常不满意,1052,6,6148,6,1046,1,1000,是,21114,6,538,6,1053,1,1000,6,6090,6,1037,完全没有变化，仍然相信,6087
232.0,谣言信息4展示,辟谣信息4b,14305,18-30岁,548,初中及以下,546,1,1,0,0,0,1,1,0,1590,1,1000,是,5404,7,544,6,1043,非常不满意,1055,6,6155,6,1047,1,1000,是,21100,7,551,6,1032,1,1000,6,6090,6,1041,完全没有变化，仍然相信,6102
251.0,谣言信息4展示,辟谣信息4b,14726,31-40岁,550,硕士及以上,539,0,0,1,0,0,1,1,0,1226,1,1000,是,5399,6,544,6,1040,非常不满意,1056,6,6141,6,1047,1,1000,是,21082,7,540,6,1029,1,1000,7,6086,7,1031,完全没有变化，仍然相信,6091
255.0,谣言信息4展示,辟谣信息4b,14963,51-60岁,542,高中/中专,545,1,1,0,1,1,1,1,0,2254,1,1000,是,5416,6,549,6,1056,非常不满意,1068,6,6135,6,1042,1,1000,是,21086,7,560,7,1039,1,1000,7,6089,7,1038,完全没有变化，仍然相信,6102
273.0,谣言信息4展示,辟谣信息4b,14827,51-60岁,553,本科,547,0,1,0,0,1,1,1,0,1581,1,1000,是,5421,7,546,7,1038,非常不满意,1048,7,6142,7,1038,1,1000,是,21101,7,532,7,1032,1,1000,6,6075,6,1053,完全没有变化，仍然相信,6104
291.0,谣言信息4展示,辟谣信息4b,14693,18-30岁,556,硕士及以上,542,1,1,1,0,0,0,1,0,1597,1,1000,是,5431,6,549,6,1049,非常不满意,1101,6,6170,6,1049,1,1000,是,21106,6,545,6,1040,1,1000,6,6075,6,1048,完全没有变化，仍然相信,6085
314.0,谣言信息4展示,辟谣信息4b,13056,31-40岁,547,硕士及以上,542,1,1,0,1,0,0,1,0,1562,1,1000,是,5411,6,548,6,1040,非常不满意,1056,6,6140,6,1036,1,1000,是,21093,6,539,6,1051,1,1000,6,6085,6,1058,完全没有变化，仍然相信,6102
317.0,谣言信息4展示,辟谣信息4b,14678,51-60岁,539,硕士及以上,552,1,1,0,1,1,0,1,0,1906,1,1000,是,5419,7,553,7,1044,非常不满意,1049,6,6127,7,1049,1,1000,是,21091,6,538,6,1045,1,1000,6,6095,6,1039,完全没有变化，仍然相信,6098
353.0,谣言信息4展示,辟谣信息4b,14649,41-50岁,539,初中及以下,548,1,1,1,0,0,1,0,0,1532,1,1000,是,5412,7,543,7,1048,非常不满意,1055,6,6432,6,1035,1,1000,是,21091,6,551,6,1034,1,1000,6,6083,6,1041,完全没有变化，仍然相信,6086
374.0,谣言信息4展示,辟谣信息4b,13317,31-40岁,4401,高中/中专,3244,1,1,1,0,0,0,0,0,14430,1,1000,是,6457,5,12954,3,3229,非常不满意,1991,4,21992,5,4451,1,1000,是,8206,5,2026,4,1513,1,1000,5,4250,3,2726,有些动摇，但仍倾向相信,15700
377.0,谣言信息4展示,辟谣信息4b,11775,31-40岁,12722,高中/中专,1667,0,1,0,0,0,0,0,0,1237,1,1000,是,2547,7,464,4,370,非常不满意,1454,7,132300,4,297,1,1000,是,2413,5,1019,6,1165,1,1000,5,430,4,3083,有些动摇，但仍倾向相信,1853
384.0,谣言信息4展示,辟谣信息4b,1026,31-40岁,450,高中/中专,942,0,0,1,0,0,0,0,0,770,1,1000,是,3526,6,1591,7,2507,非常不满意,749,6,3021,6,525,1,1000,否,2171,6,570,7,430,1,1000,6,1932,7,239,观点发生明显变化，现在不太相信,2039
427.0,谣言信息4展示,辟谣信息4b,7248,31-40岁,785,硕士及以上,2281,0,1,0,0,1,0,0,0,1230,1,1000,是,864,5,9143,3,321,非常不满意,5003,7,5086,6,321,1,1000,是,2522,5,891,4,379,1,1000,6,1872,4,869,有些动摇，但仍倾向相信,1411
443.0,谣言信息4展示,辟谣信息4b,1198,41-50岁,1109,高中/中专,1470,0,0,1,0,0,0,0,0,1131,1,1000,是,5357,5,2135,3,5128,非常不满意,3148,6,23499,4,795,1,1000,是,3891,5,1369,4,731,1,1000,6,4055,4,1377,有些动摇，但仍倾向相信,6844
452.0,谣言信息4展示,辟谣信息4b,5123,41-50岁,2228,硕士及以上,3403,0,1,0,0,0,0,0,0,8001,1,1000,是,7318,7,1230,7,433,非常不满意,5198,7,4657,7,1043,1,1000,是,7858,7,1186,7,1000,1,1000,7,5985,7,298,完全没有变化，仍然相信,2001
454.0,谣言信息4展示,辟谣信息4b,9617,31-40岁,3682,初中及以下,2097,1,0,0,1,0,0,0,0,8305,1,1000,是,5606,5,1460,4,1159,非常不满意,2432,5,3964,4,870,1,1000,否,7064,4,1008,3,1100,1,1000,3,7013,4,2656,完全没有变化，仍然相信,3088
464.0,谣言信息4展示,辟谣信息4b,2710,18-30岁,955,本科,1131,1,1,0,0,0,0,0,0,2982,1,1000,否,10747,3,2280,2,2962,非常不满意,1498,6,3263,3,4311,1,1000,否,4291,4,1566,3,2443,1,1000,5,5672,4,1021,,
478.0,谣言信息4展示,辟谣信息4b,1085,18-30岁,289,本科,1719,0,0,1,0,0,0,0,0,437,1,1000,是,4046,6,753,5,789,非常不满意,1083,6,3624,5,287,1,1000,否,2391,4,257,5,1895,1,1000,5,1954,4,309,有些动摇，但仍倾向相信,1054
493.0,谣言信息4展示,辟谣信息4b,19546,60岁以上,626,本科,601,0,1,0,1,1,1,0,0,3861,1,1000,是,6192,6,612,3,1091,非常不满意,1091,2,5676,2,1086,1,1000,是,6235,2,582,6,1092,1,1000,3,6177,4,1075,有些动摇，但仍倾向相信,6184
503.0,谣言信息4展示,辟谣信息4b,18400,51-60岁,605,硕士及以上,591,1,1,0,1,1,0,1,0,4973,1,1000,是,6276,6,616,5,1099,非常不满意,1109,1,5715,1,1090,1,1000,是,6215,5,575,3,1092,1,1000,6,6226,5,1078,完全改变观点，现在完全不相信,6162
509.0,谣言信息4展示,辟谣信息4b,19782,18-30岁,612,硕士及以上,628,1,0,1,0,0,1,1,0,3892,1,1000,是,6244,3,604,5,1099,非常不满意,1063,4,5714,5,1085,1,1000,是,6197,3,565,5,1068,1,1000,5,6148,5,1063,,
529.0,谣言信息4展示,辟谣信息4b,19699,60岁以上,593,本科,593,1,1,0,1,1,0,0,0,3888,1,1000,是,6213,4,595,3,1100,非常不满意,1080,4,5639,5,1097,1,1000,是,6176,5,575,3,1098,1,1000,3,6156,3,1088,,
