Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请观看并回答问题,作答时长(毫秒).85,您是否曾见过包含以上内容的信息？.15,作答时长(毫秒).86,您认为这条信息的可信度如何？.3,作答时长(毫秒).87,如果您在社交媒体上看到此类信息，您会传播吗？.2,作答时长(毫秒).88,本题检测是否真人作答.3,作答时长(毫秒).89,您认为长期食用猪油可以给自己或身边人的健康带来正面影响吗？,作答时长(毫秒).90,您认为长期食用猪油可以给自己或身边人的健康带来多大好处？,作答时长(毫秒).91,观看以下信息并回答问题.14,作答时长(毫秒).100,您是否曾见过包含以上内容的信息？.18,作答时长(毫秒).101,您认为这条健康信息的可信度如何？.14,作答时长(毫秒).102,您是否愿意分享该健康信息？.17,作答时长(毫秒).103,请回顾初始健康信息并回答问题,作答时长(毫秒).108,您现在认为该健康信息的可信度如何？.2,作答时长(毫秒).109,您是否愿意分享该健康信息？.19,作答时长(毫秒).110,观看信息前后，您的观点是否发生变化？.3,作答时长(毫秒).111
11.0,谣言信息4展示,辟谣信息4c,2112,31-40岁,234,本科,1312,0,1,0,1,0,0,0,0,999,1,1000,否,2108,5,3567,3,365,非常不满意,680,5,3187,5,253,1,9098,是,4213,5,270,4,270,1,1000,5,2880,7,274,有些动摇，但仍倾向相信,1346
12.0,谣言信息4展示,辟谣信息4c,1200,41-50岁,1693,高中/中专,2534,1,1,1,1,1,1,1,0,11628,1,1000,是,12055,6,9185,4,2957,非常不满意,1688,5,14357,6,1002,1,18731,是,1830,6,2753,5,10127,1,1000,7,11519,6,1603,完全没有变化，仍然相信,4365
70.0,谣言信息4展示,辟谣信息4c,6911,18-30岁,378,本科,1949,1,0,0,0,0,0,0,0,1223,1,1000,是,12235,6,644,4,251,非常不满意,4437,5,2890,4,356,1,18068,是,2750,6,1225,4,314,1,1000,6,5773,4,366,完全没有变化，仍然相信,3478
96.0,谣言信息4展示,辟谣信息4c,4123,31-40岁,3645,本科,2841,1,0,1,1,1,0,0,0,16017,1,1000,是,21780,6,4201,4,12986,非常不满意,3259,6,18081,5,9392,1,25294,是,4091,4,2757,4,5949,1,1000,6,17666,6,1047,完全没有变化，仍然相信,5818
130.0,谣言信息4展示,辟谣信息4c,10509,31-40岁,1172,本科,1961,1,1,1,1,1,1,1,0,3695,1,1000,是,4578,5,6288,3,1206,非常不满意,5313,5,5072,3,313,1,21421,是,2497,5,1153,3,360,1,1000,5,5881,3,339,观点发生明显变化，现在不太相信,10715
168.0,谣言信息4展示,辟谣信息4c,14671,18-30岁,544,硕士及以上,537,1,1,1,1,0,1,0,0,1916,1,1000,是,5415,7,553,7,1035,非常不满意,1055,6,6139,6,1037,1,32390,是,59806,6,541,6,1051,1,1000,6,6100,6,1043,完全没有变化，仍然相信,6097
172.0,谣言信息4展示,辟谣信息4c,13633,60岁以上,546,初中及以下,540,1,0,1,0,1,1,1,0,1914,1,1000,是,5395,6,546,6,1040,非常不满意,1049,6,6150,6,1037,1,32386,是,59797,6,534,6,1036,1,1000,6,6104,6,1045,完全没有变化，仍然相信,6106
185.0,谣言信息4展示,辟谣信息4c,14641,41-50岁,566,硕士及以上,543,1,1,1,1,0,0,1,0,1908,1,1000,是,5421,6,542,6,1040,非常不满意,1052,6,6138,6,1047,1,32410,是,59785,6,548,6,1046,1,1000,6,6090,6,1029,完全没有变化，仍然相信,6098
192.0,谣言信息4展示,辟谣信息4c,14348,60岁以上,546,初中及以下,553,0,1,1,1,1,0,0,0,1556,1,1000,是,5407,6,543,6,1047,非常不满意,1057,7,6146,7,1047,1,32408,是,59783,6,548,6,1036,1,1000,6,6086,6,1065,完全没有变化，仍然相信,6089
198.0,谣言信息4展示,辟谣信息4c,14334,18-30岁,573,初中及以下,547,1,1,1,0,0,1,0,0,1579,1,1000,是,5416,6,552,6,1046,非常不满意,1058,7,6148,7,1036,1,32388,是,59797,6,532,6,1045,1,1000,6,6095,6,1036,完全没有变化，仍然相信,6074
