Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,以下是一个网络信息片段，请观看并回答问题,作答时长(毫秒).85,您是否曾见过包含以上内容的信息？.15,作答时长(毫秒).86,您认为这条信息的可信度如何？.3,作答时长(毫秒).87,如果您在社交媒体上看到此类信息，您会传播吗？.2,作答时长(毫秒).88,本题检测是否真人作答.3,作答时长(毫秒).89,您认为长期食用猪油可以给自己或身边人的健康带来正面影响吗？,作答时长(毫秒).90,您认为长期食用猪油可以给自己或身边人的健康带来多大好处？,作答时长(毫秒).91,观看以下信息并回答问题.15,作答时长(毫秒).104,您是否曾见过包含以上内容的信息？.19,作答时长(毫秒).105,您认为这条健康信息的可信度如何？.15,作答时长(毫秒).106,您是否愿意分享该健康信息？.18,作答时长(毫秒).107,请回顾初始健康信息并回答问题,作答时长(毫秒).108,您现在认为该健康信息的可信度如何？.2,作答时长(毫秒).109,您是否愿意分享该健康信息？.19,作答时长(毫秒).110,观看信息前后，您的观点是否发生变化？.3,作答时长(毫秒).111
17.0,谣言信息4展示,辟谣信息4d,1399,31-40岁,1803,初中及以下,1903,0,0,1,0,0,0,0,0,2856,1,1000,否,4356,5,529,4,446,非常不满意,1376,5,505,4,4508,1,7381,是,2420,4,1584,5,931,1,1000,4,3426,5,310,完全没有变化，仍然相信,2131
29.0,谣言信息4展示,辟谣信息4d,133,31-40岁,1604,高中/中专,142,1,0,0,0,0,1,0,0,925,1,1000,是,1458,3,1054,6,191,非常不满意,263,4,2118,5,386,1,3603,是,1266,4,242,5,372,1,1000,5,4513,4,669,,
31.0,谣言信息4展示,辟谣信息4d,1215,31-40岁,440,本科,1498,0,0,1,0,0,0,0,0,889,1,1000,是,3109,6,1090,4,842,非常不满意,1250,6,5333,7,686,1,22150,是,1279,6,3694,5,262,1,1000,5,6449,7,433,有些动摇，但仍倾向相信,1566
54.0,谣言信息4展示,辟谣信息4d,896,18-30岁,447,高中/中专,918,1,0,0,0,0,0,0,0,1169,1,1000,否,3268,4,349,6,989,非常不满意,533,6,1736,5,473,1,13046,是,1659,6,337,5,1666,1,1000,5,2718,5,316,,
56.0,谣言信息4展示,辟谣信息4d,2871,18-30岁,342,本科,912,0,1,0,0,0,0,1,0,911,1,1000,是,2540,7,1054,6,1659,非常不满意,703,7,3942,6,446,1,7226,是,1359,7,2087,5,332,1,1000,7,1825,5,243,观点发生明显变化，现在不太相信,1066
57.0,谣言信息4展示,辟谣信息4d,1517,18-30岁,444,高中/中专,1107,1,0,0,0,0,0,0,0,452,1,1000,是,3268,6,865,6,360,非常不满意,949,7,1550,6,299,1,37559,是,4205,6,1182,6,271,1,1000,7,4149,6,240,观点发生明显变化，现在不太相信,3540
61.0,谣言信息4展示,辟谣信息4d,4482,18-30岁,909,初中及以下,1127,1,0,0,0,0,0,0,0,2392,1,1000,是,5020,5,1569,3,313,非常不满意,887,4,2277,5,431,1,8671,是,1686,5,2488,3,285,1,1000,4,2193,2,261,观点发生明显变化，现在不太相信,1226
71.0,谣言信息4展示,辟谣信息4d,12162,18-30岁,1733,本科,1719,1,1,1,1,0,1,0,0,8421,1,1000,是,4491,5,357,3,9781,非常不满意,2712,5,14090,4,457,1,6869,是,1488,5,4536,3,641,1,1000,5,3747,3,401,观点发生明显变化，现在不太相信,6645
87.0,谣言信息4展示,辟谣信息4d,2635,31-40岁,1287,本科,1840,0,1,1,1,0,0,1,0,4652,1,1000,否,4817,5,3814,3,534,非常不满意,1893,5,3276,3,536,1,64320,是,5649,3,2939,7,4914,1,1000,3,18312,7,3207,观点发生明显变化，现在不太相信,11503
120.0,谣言信息4展示,辟谣信息4d,10076,31-40岁,203,本科,750,0,1,1,1,0,0,0,0,1938,1,1000,否,2538,5,678,5,320,非常不满意,1020,6,3927,4,492,1,67865,是,4031,5,825,6,718,1,1000,5,28856,6,223,有些动摇，但仍倾向相信,1071
122.0,谣言信息4展示,辟谣信息4d,1131,18-30岁,1098,初中及以下,976,1,0,0,0,0,0,0,0,4054,1,1000,是,4131,7,1008,6,952,非常不满意,523,7,5666,6,504,1,51272,是,4990,7,1703,6,441,1,1000,7,5458,6,370,完全改变观点，现在完全不相信,10097
155.0,谣言信息4展示,辟谣信息4d,248,18-30岁,1044,高中/中专,636,0,0,1,0,0,1,0,0,1828,1,1000,是,2106,6,1344,5,329,非常不满意,1128,5,301,6,2026,1,5163,否,779,6,540,6,285,1,1000,6,2397,6,218,观点发生明显变化，现在不太相信,949
161.0,谣言信息4展示,辟谣信息4d,9133,60岁以上,547,本科,559,0,0,1,1,1,1,1,0,1915,1,1000,是,5409,7,565,7,1047,非常不满意,1047,7,6148,7,1046,1,85081,是,7118,7,535,6,1040,1,1000,7,6091,7,1042,完全没有变化，仍然相信,6106
180.0,谣言信息4展示,辟谣信息4d,13473,41-50岁,553,硕士及以上,557,0,1,1,0,0,1,1,0,1577,1,1000,是,5420,6,573,6,1039,非常不满意,1056,6,6140,6,1041,1,85088,是,7131,6,549,6,1037,1,1000,6,6107,7,1052,完全没有变化，仍然相信,6100
190.0,谣言信息4展示,辟谣信息4d,14689,31-40岁,538,初中及以下,538,0,1,0,1,1,1,0,0,1550,1,1000,是,5405,6,550,6,1038,非常不满意,1057,6,6133,6,1043,1,85075,是,7142,6,551,6,1039,1,1000,6,6086,6,1034,完全没有变化，仍然相信,6107
195.0,谣言信息4展示,辟谣信息4d,14726,18-30岁,539,本科,553,0,0,1,1,1,0,1,0,1569,1,1000,是,5435,7,546,6,1037,非常不满意,1052,6,6142,6,1052,1,85098,是,7126,7,590,6,1059,1,1000,6,6160,7,1049,完全没有变化，仍然相信,6095
212.0,谣言信息4展示,辟谣信息4d,14435,18-30岁,552,本科,547,0,0,1,1,0,0,1,0,1235,1,1000,是,5418,6,543,6,1042,非常不满意,1054,7,6147,7,1053,1,85072,是,7123,6,537,6,1042,1,1000,7,6106,7,1034,完全没有变化，仍然相信,6150
226.0,谣言信息4展示,辟谣信息4d,14589,41-50岁,548,高中/中专,542,1,0,1,0,1,1,0,0,1572,1,1000,是,5427,6,552,6,1052,非常不满意,1059,6,6163,6,1054,1,85079,是,7129,6,539,7,1036,1,1000,6,6095,6,1028,完全没有变化，仍然相信,6080
271.0,谣言信息4展示,辟谣信息4d,14728,41-50岁,542,高中/中专,549,1,0,1,0,0,1,1,0,1593,1,1000,是,5414,7,548,6,1037,非常不满意,1060,6,6151,6,1043,1,85072,是,7134,6,543,6,1042,1,1000,6,6097,6,1043,完全没有变化，仍然相信,6093
294.0,谣言信息4展示,辟谣信息4d,14574,60岁以上,544,初中及以下,554,1,1,0,0,0,1,1,0,1578,1,1000,是,5449,7,555,6,1044,非常不满意,1063,6,6165,6,1053,1,85084,是,7140,6,537,6,1042,1,1000,7,6091,7,1036,完全没有变化，仍然相信,6113
331.0,谣言信息4展示,辟谣信息4d,14729,31-40岁,554,高中/中专,550,1,0,0,0,1,1,1,0,1579,1,1000,是,5439,7,546,6,1050,非常不满意,1056,6,6145,6,1040,1,85087,是,7143,6,549,6,1031,1,1000,6,6112,6,1054,完全没有变化，仍然相信,6148
372.0,谣言信息4展示,辟谣信息4d,1433,51-60岁,825,高中/中专,742,0,0,0,1,0,0,0,0,867,1,1000,是,2786,4,757,4,465,非常不满意,656,6,2582,6,620,1,29955,是,316815,6,923,7,673,1,1000,6,4906,7,707,,
373.0,谣言信息4展示,辟谣信息4d,3567,18-30岁,743,高中/中专,1541,0,0,1,0,1,0,0,0,2452,1,1000,是,2745,7,1911,7,521,非常不满意,1424,7,1751,7,803,2,151912,是,9473,7,1048,7,1088,1,1000,7,21181,7,445,观点发生明显变化，现在不太相信,53914
392.0,谣言信息4展示,辟谣信息4d,10119,31-40岁,897,高中/中专,1332,1,1,1,0,0,0,0,0,1778,1,1000,是,7439,5,1360,3,3172,非常不满意,1129,4,7905,5,583,1,7773,是,3590,4,1272,5,694,1,1000,4,3254,5,660,完全没有变化，仍然相信,1392
395.0,谣言信息4展示,辟谣信息4d,1145,31-40岁,508,本科,1600,1,1,1,1,1,1,1,0,3952,1,1000,是,2440,6,3184,7,7113,非常不满意,2429,7,4164,7,348,1,11564,是,2021,7,830,7,289,1,1000,7,2719,7,218,有些动摇，但仍倾向相信,1267
396.0,谣言信息4展示,辟谣信息4d,1968,41-50岁,285,高中/中专,969,0,1,0,0,0,0,0,0,986,1,1000,否,1454,5,868,3,1103,非常不满意,846,4,7150,3,267,1,4421,是,1701,5,1435,4,316,1,1000,3,2084,5,230,有些动摇，但仍倾向相信,10252
423.0,谣言信息4展示,辟谣信息4d,1291,31-40岁,931,本科,1420,0,1,1,0,0,0,0,0,1483,1,1000,是,8139,5,2716,3,550,非常不满意,509,6,2481,4,248,1,15434,是,1320,3,1213,5,267,1,1000,6,5634,4,253,观点发生明显变化，现在不太相信,1775
433.0,谣言信息4展示,辟谣信息4d,1935,31-40岁,1744,本科,1441,0,0,1,0,0,0,0,0,1433,1,1000,是,5081,5,1046,3,411,非常不满意,599,5,7392,4,367,1,85750,是,2051,6,1379,4,420,1,1000,5,13778,4,1539,有些动摇，但仍倾向相信,2177
458.0,谣言信息4展示,辟谣信息4d,1408,31-40岁,2412,本科,3280,1,1,0,0,1,1,0,0,13542,1,1000,是,12359,4,2458,5,2186,非常不满意,2240,4,11640,5,2379,1,73601,是,8416,6,1248,4,1809,1,1000,5,14648,6,1423,,
