Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,请阅读以下健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).112,您是否曾见过包含以上内容的信息？.20,作答时长(毫秒).113,您认为这条信息的可信度如何？.4,作答时长(毫秒).114,如果您在社交媒体上看到此类信息，您会传播吗？.3,作答时长(毫秒).115,本题检测是否真人作答.4,作答时长(毫秒).116,您认为使用偏方应对烫伤会有用吗？,作答时长(毫秒).117,您认为这些土办法会对健康造成危害吗？,作答时长(毫秒).118,观看以下信息并回答问题.16,作答时长(毫秒).119,您是否曾见过包含以上内容的信息？.21,作答时长(毫秒).120,您认为这条健康信息的可信度如何？.16,作答时长(毫秒).121,您是否愿意分享该健康信息？.20,作答时长(毫秒).122,请回顾初始健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).135,您现在认为这条信息的可信度如何？.1,作答时长(毫秒).136,您是否愿意分享该健康信息？.24,作答时长(毫秒).137,观看信息前后，您的观点是否发生变化？.4,作答时长(毫秒).138
76.0,谣言信息5展示,辟谣5a,919,31-40岁,968,高中/中专,987,0,0,1,0,0,0,0,0,1385,1,1000,是,3161,5,2528,3,1714,非常不满意,4939,5,5970,6,514,1,1000,是,4109,5,2602,6,1329,1,1000,5,2512,6,491,有些动摇，但仍倾向相信,1383
151.0,谣言信息5展示,辟谣5a,1442,31-40岁,353,高中/中专,521,0,0,1,0,0,1,0,0,1519,1,1000,否,1742,6,1256,7,232,非常不满意,1049,6,2244,5,180,1,1000,是,1249,6,1132,5,315,1,1000,7,2168,6,232,观点发生明显变化，现在不太相信,771
182.0,谣言信息5展示,辟谣5a,14770,18-30岁,554,高中/中专,543,0,1,0,1,0,1,0,0,1228,1,1000,是,5390,7,544,7,1045,非常不满意,1058,7,6242,6,1059,1,1000,是,21118,7,538,7,1036,1,1000,7,6089,7,1032,完全没有变化，仍然相信,6092
187.0,谣言信息5展示,辟谣5a,14963,18-30岁,568,初中及以下,548,1,1,1,1,1,0,1,0,2256,1,1000,是,5430,7,547,6,1053,非常不满意,1071,6,6136,7,1051,1,1000,是,21101,6,542,6,1034,1,1000,6,6082,6,1031,完全没有变化，仍然相信,6100
233.0,谣言信息5展示,辟谣5a,14911,60岁以上,569,本科,553,1,1,1,1,1,0,1,0,2271,1,1000,是,5444,6,552,6,1042,非常不满意,1068,6,6129,7,1043,1,1000,是,21096,6,541,6,1035,1,1000,6,6084,6,1045,完全没有变化，仍然相信,6094
239.0,谣言信息5展示,辟谣5a,14115,18-30岁,548,初中及以下,546,1,1,0,1,0,1,1,0,1940,1,1000,是,5425,6,549,6,1037,非常不满意,1056,6,6132,6,1042,1,1000,是,21097,6,537,6,1029,1,1000,6,6085,6,1043,完全没有变化，仍然相信,6081
256.0,谣言信息5展示,辟谣5a,14379,41-50岁,544,硕士及以上,550,1,0,1,1,0,0,1,0,1556,1,1000,是,5426,7,551,6,1037,非常不满意,1051,6,6145,7,1036,1,1000,是,21105,6,536,6,1042,1,1000,7,6085,7,1034,完全没有变化，仍然相信,6103
308.0,谣言信息5展示,辟谣5a,14781,51-60岁,552,初中及以下,536,0,1,0,1,0,1,1,0,1566,1,1000,是,5403,6,550,6,1045,非常不满意,1059,6,6154,6,1058,1,1000,是,21105,7,545,7,1036,1,1000,7,6100,7,1041,完全没有变化，仍然相信,6092
323.0,谣言信息5展示,辟谣5a,14969,41-50岁,547,硕士及以上,555,1,1,0,0,1,1,0,0,1574,1,1000,是,5413,6,557,6,1037,非常不满意,1048,6,6138,6,1041,1,1000,是,21108,7,563,7,1051,1,1000,7,6091,6,1034,完全没有变化，仍然相信,6073
344.0,谣言信息5展示,辟谣5a,9916,41-50岁,551,初中及以下,554,1,1,1,0,1,0,1,0,1924,1,1000,是,5428,7,544,7,1049,非常不满意,1060,7,6139,7,1050,1,1000,是,21088,6,549,7,1031,1,1000,6,6071,6,1028,完全没有变化，仍然相信,6077
