Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,请阅读以下健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).112,您是否曾见过包含以上内容的信息？.20,作答时长(毫秒).113,您认为这条信息的可信度如何？.4,作答时长(毫秒).114,如果您在社交媒体上看到此类信息，您会传播吗？.3,作答时长(毫秒).115,本题检测是否真人作答.4,作答时长(毫秒).116,您认为使用偏方应对烫伤会有用吗？,作答时长(毫秒).117,您认为这些土办法会对健康造成危害吗？,作答时长(毫秒).118,观看以下信息并回答问题.17,作答时长(毫秒).123,您是否曾见过包含以上内容的信息？.22,作答时长(毫秒).124,您认为这条健康信息的可信度如何？.17,作答时长(毫秒).125,您是否愿意分享该健康信息？.21,作答时长(毫秒).126,请回顾初始健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).135,您现在认为这条信息的可信度如何？.1,作答时长(毫秒).136,您是否愿意分享该健康信息？.24,作答时长(毫秒).137,观看信息前后，您的观点是否发生变化？.4,作答时长(毫秒).138
52.0,谣言信息5展示,辟谣5b,1662,31-40岁,5855,高中/中专,330,0,1,0,0,0,0,0,0,738,1,1000,否,2048,6,1033,7,991,非常不满意,224,7,1795,6,240,1,1000,否,1133,6,614,6,343,1,1000,6,1587,5,304,观点发生明显变化，现在不太相信,1193
59.0,谣言信息5展示,辟谣5b,3143,18-30岁,435,本科,1925,0,1,0,1,0,1,0,0,817,1,1000,是,3466,6,698,5,508,非常不满意,1218,6,4663,5,332,1,1000,是,1612,5,1032,5,275,1,1000,4,2361,4,265,有些动摇，但仍倾向相信,1254
124.0,谣言信息5展示,辟谣5b,6190,31-40岁,794,硕士及以上,2268,1,1,1,1,1,0,0,0,3379,1,1000,是,9717,5,6269,3,317,非常不满意,3531,4,7930,2,290,1,1000,是,10315,5,1251,1,621,1,1000,4,2079,2,315,有些动摇，但仍倾向相信,1377
191.0,谣言信息5展示,辟谣5b,14741,31-40岁,557,本科,553,1,1,1,1,1,1,0,0,2291,1,1000,是,5428,7,552,7,1057,非常不满意,1063,7,6181,7,1051,1,1000,是,21094,6,554,6,1044,1,1000,6,6096,6,1037,完全没有变化，仍然相信,6094
215.0,谣言信息5展示,辟谣5b,13956,60岁以上,543,硕士及以上,548,1,1,0,0,1,0,1,0,1565,1,1000,是,5407,7,539,7,1051,非常不满意,1061,6,6131,7,1068,1,1000,是,21109,7,544,7,1044,1,1000,7,6083,7,1061,完全没有变化，仍然相信,6086
225.0,谣言信息5展示,辟谣5b,14644,41-50岁,548,本科,541,1,0,1,0,1,0,1,0,1586,1,1000,是,5406,7,546,7,1037,非常不满意,1052,7,6131,7,1048,1,1000,是,21110,7,547,7,1030,1,1000,6,6084,6,1040,完全没有变化，仍然相信,6102
229.0,谣言信息5展示,辟谣5b,14704,60岁以上,538,硕士及以上,547,1,0,1,1,0,1,0,0,1563,1,1000,是,5427,6,564,6,1046,非常不满意,1059,6,6166,6,1049,1,1000,是,21105,6,546,6,1041,1,1000,6,6090,6,1037,完全没有变化，仍然相信,6089
241.0,谣言信息5展示,辟谣5b,19605,41-50岁,548,本科,550,0,0,1,1,1,1,1,0,1897,1,1000,是,5421,6,541,6,1049,非常不满意,1052,6,6126,6,1033,1,1000,是,21099,6,545,6,1039,1,1000,6,6070,6,1042,完全没有变化，仍然相信,6096
243.0,谣言信息5展示,辟谣5b,14647,18-30岁,546,高中/中专,545,1,0,1,0,1,1,1,0,1934,1,1000,是,5411,7,540,7,1043,非常不满意,1055,7,6143,7,1047,1,1000,是,21088,6,548,6,1042,1,1000,6,6077,6,1031,完全没有变化，仍然相信,6087
257.0,谣言信息5展示,辟谣5b,14611,60岁以上,548,高中/中专,540,1,0,1,1,1,1,1,0,2264,1,1000,是,5421,7,538,6,1049,非常不满意,1053,6,6119,6,1048,1,1000,是,21103,6,545,6,1030,1,1000,6,6084,7,1036,完全没有变化，仍然相信,6086
