Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,请阅读以下健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).112,您是否曾见过包含以上内容的信息？.20,作答时长(毫秒).113,您认为这条信息的可信度如何？.4,作答时长(毫秒).114,如果您在社交媒体上看到此类信息，您会传播吗？.3,作答时长(毫秒).115,本题检测是否真人作答.4,作答时长(毫秒).116,您认为使用偏方应对烫伤会有用吗？,作答时长(毫秒).117,您认为这些土办法会对健康造成危害吗？,作答时长(毫秒).118,观看以下信息并回答问题.19,作答时长(毫秒).131,您是否曾见过包含以上内容的信息？.24,作答时长(毫秒).132,您认为这条健康信息的可信度如何？.19,作答时长(毫秒).133,您是否愿意分享该健康信息？.23,作答时长(毫秒).134,请回顾初始健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).135,您现在认为这条信息的可信度如何？.1,作答时长(毫秒).136,您是否愿意分享该健康信息？.24,作答时长(毫秒).137,观看信息前后，您的观点是否发生变化？.4,作答时长(毫秒).138
9.0,谣言信息5展示,辟谣信息5c,1191,18-30岁,985,本科,1032,0,1,0,0,0,0,0,0,2869,1,1000,是,5687,4,1644,3,1866,非常不满意,2347,4,7205,3,2746,1,8473,是,9019,5,3761,4,1897,1,1000,4,5736,5,765,,
18.0,谣言信息5展示,辟谣信息5c,2930,18-30岁,1899,高中/中专,2291,1,1,1,0,0,0,0,0,5502,1,1000,是,9650,5,2325,4,2740,非常不满意,20148,6,8692,4,652,1,56770,是,6200,5,1656,4,609,1,1000,5,41099,5,1262,有些动摇，但仍倾向相信,9988
30.0,谣言信息5展示,辟谣信息5c,1567,31-40岁,255,初中及以下,1174,0,0,1,0,0,1,0,0,869,1,1000,是,2377,5,928,3,403,非常不满意,830,6,6424,7,401,1,32311,是,1167,7,1080,6,710,1,1000,6,1889,7,292,完全没有变化，仍然相信,1075
64.0,谣言信息5展示,辟谣信息5c,995,18-30岁,1780,高中/中专,1935,1,0,0,0,0,0,0,0,1414,1,1000,否,2983,3,1787,5,1900,非常不满意,1001,3,2054,5,709,1,7244,否,2450,3,6695,5,659,1,1000,4,3393,5,548,,
74.0,谣言信息5展示,辟谣信息5c,2180,31-40岁,490,高中/中专,1003,0,0,0,1,1,1,0,0,1479,1,1000,是,6351,7,2618,3,8561,非常不满意,1723,6,6060,6,283,1,13103,是,1366,6,1257,4,544,1,1000,4,2329,6,405,观点发生明显变化，现在不太相信,1502
78.0,谣言信息5展示,辟谣信息5c,2880,18-30岁,1041,本科,1362,0,0,0,1,0,0,0,0,1111,1,1000,否,2875,6,640,5,236,非常不满意,947,7,8098,7,2057,1,24218,否,2739,6,1435,6,670,1,1000,6,2757,6,303,观点发生明显变化，现在不太相信,3208
85.0,谣言信息5展示,辟谣信息5c,5117,18-30岁,2082,本科,9601,1,0,0,0,0,0,0,0,12844,1,1000,是,65745,5,30640,3,1231,非常不满意,4301,5,25908,2,11616,1,85419,否,14911,4,7411,5,5960,1,1000,5,16457,4,1093,完全没有变化，仍然相信,10066
94.0,谣言信息5展示,辟谣信息5c,9350,41-50岁,642,本科,1872,0,0,1,0,0,1,1,0,4578,1,1000,是,3559,5,1379,3,410,非常不满意,1295,6,4257,4,377,1,15636,是,3345,6,1234,4,821,1,1000,4,3838,4,397,完全没有变化，仍然相信,1549
137.0,谣言信息5展示,辟谣信息5c,17803,18岁以下,656,初中及以下,1580,1,0,1,0,0,0,0,0,26328,1,1000,是,3670,5,11876,3,4014,非常不满意,1930,7,7394,5,399,1,38929,是,2204,7,2547,6,302,1,1000,6,3014,6,223,完全没有变化，仍然相信,3072
152.0,谣言信息5展示,辟谣信息5c,7278,31-40岁,360,高中/中专,1454,0,1,0,1,0,0,0,0,1729,1,1000,是,4061,6,410,5,765,非常不满意,1526,5,198,6,3223,1,8060,否,7947,5,462,4,408,1,1000,5,3340,6,271,有些动摇，但仍倾向相信,1336
