Unnamed: 0,随机元素,Unnamed: 2,作答时长(毫秒),请选择您的年龄范围,作答时长(毫秒).1,您的最高学历是？,作答时长(毫秒).2,您主要获取健康信息的渠道是哪些？-医院/诊所就医,您主要获取健康信息的渠道是哪些？-社交媒体（如微信、微博、抖音、小红书等）,您主要获取健康信息的渠道是哪些？-搜索引擎（如百度、搜狗、必应）,您主要获取健康信息的渠道是哪些？-电视节目,您主要获取健康信息的渠道是哪些？-书籍报刊杂志,您主要获取健康信息的渠道是哪些？-亲友交流,您主要获取健康信息的渠道是哪些？-专业论坛,您主要获取健康信息的渠道是哪些？-其他，请注明：_________,作答时长(毫秒).3,请阅读以下健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).112,您是否曾见过包含以上内容的信息？.20,作答时长(毫秒).113,您认为这条信息的可信度如何？.4,作答时长(毫秒).114,如果您在社交媒体上看到此类信息，您会传播吗？.3,作答时长(毫秒).115,本题检测是否真人作答.4,作答时长(毫秒).116,您认为使用偏方应对烫伤会有用吗？,作答时长(毫秒).117,您认为这些土办法会对健康造成危害吗？,作答时长(毫秒).118,观看以下信息并回答问题.18,作答时长(毫秒).127,您是否曾见过包含以上内容的信息？.23,作答时长(毫秒).128,您认为这条健康信息的可信度如何？.18,作答时长(毫秒).129,您是否愿意分享该健康信息？.22,作答时长(毫秒).130,请回顾初始健康信息并回答问题。如果被烫伤了，有些土办法处理起来效果非常好，比如牙膏、酱油等，相比去医院，治疗烫伤这些偏方可能有奇效。,作答时长(毫秒).135,您现在认为这条信息的可信度如何？.1,作答时长(毫秒).136,您是否愿意分享该健康信息？.24,作答时长(毫秒).137,观看信息前后，您的观点是否发生变化？.4,作答时长(毫秒).138
1.0,谣言信息5展示,辟谣信息5d,1192,31-40岁,281,初中及以下,823,0,1,0,0,0,0,0,0,868,1,1000,否,2263,5,919,3,1400,非常不满意,1479,5,2674,4,211,1,25553,是,1660,5,832,4,214,1,1000,4,3778,3,673,有些动摇，但仍倾向相信,2210
13.0,谣言信息5展示,辟谣信息5d,620,18-30岁,181,本科,976,0,1,0,1,0,0,0,0,1251,1,1000,是,1747,7,273,6,752,非常不满意,289,7,3202,5,173,1,15433,是,1067,6,324,5,293,1,1000,7,2177,5,645,有些动摇，但仍倾向相信,80023
27.0,谣言信息5展示,辟谣信息5d,2017,18-30岁,332,高中/中专,814,0,1,1,0,0,0,0,0,1142,1,1000,是,3516,5,6074,3,298,非常不满意,354,6,4324,5,409,1,13032,是,996,5,813,6,277,1,1000,5,2171,7,256,有些动摇，但仍倾向相信,1032
34.0,谣言信息5展示,辟谣信息5d,6875,18-30岁,1193,本科,1663,0,1,0,0,0,0,0,0,1118,1,1000,是,1935,3,1094,1,709,非常不满意,3261,5,5007,3,603,1,9489,是,3450,5,1329,3,1647,1,1000,4,3864,2,757,,
111.0,谣言信息5展示,辟谣信息5d,1750,31-40岁,1587,初中及以下,1702,1,1,0,0,0,0,0,0,1123,1,1000,是,4920,5,1600,3,11328,非常不满意,886,5,6622,5,455,1,9893,是,1983,5,3633,5,537,1,1000,5,6844,5,455,完全没有变化，仍然相信,1788
135.0,谣言信息5展示,辟谣信息5d,1262,18-30岁,1007,本科,15107,1,0,0,0,0,0,0,0,1700,1,1000,是,13089,4,1644,3,3512,非常不满意,4110,5,3773,4,351,1,27043,否,6296,6,1359,5,431,1,1000,6,3648,4,310,,
149.0,谣言信息5展示,辟谣信息5d,2254,18-30岁,716,高中/中专,2879,0,1,1,0,1,0,0,0,14679,1,1000,是,4962,5,6470,3,456,非常不满意,2792,6,21618,5,291,1,37757,是,5256,5,414,5,1145,1,1000,5,7012,5,324,有些动摇，但仍倾向相信,3715
200.0,谣言信息5展示,辟谣信息5d,1177,41-50岁,252,高中/中专,1246,1,0,0,1,1,0,0,0,4068,1,1000,是,5188,5,516,3,8308,非常不满意,8952,5,18981,7,367,1,25559,是,2135,5,462,3,435,1,1000,5,4210,7,311,观点发生明显变化，现在不太相信,1202
201.0,谣言信息5展示,辟谣信息5d,14691,31-40岁,564,本科,553,0,0,1,1,1,0,0,0,1224,1,1000,是,5422,6,540,6,1042,非常不满意,1073,6,6172,6,1048,1,43315,是,48914,6,534,6,1036,1,1000,6,6088,6,1039,完全没有变化，仍然相信,6105
214.0,谣言信息5展示,辟谣信息5d,14663,18-30岁,543,本科,545,1,0,1,0,0,1,1,0,1626,1,1000,是,5418,6,572,6,1073,非常不满意,1062,6,6167,6,1046,1,43325,是,48911,7,540,7,1050,1,1000,7,6094,7,1035,完全没有变化，仍然相信,6096
228.0,谣言信息5展示,辟谣信息5d,14609,31-40岁,545,本科,560,1,1,1,1,1,1,0,0,2248,1,1000,是,5412,7,558,7,1048,非常不满意,1056,7,6134,7,1035,1,43297,是,48913,6,537,7,1044,1,1000,7,6088,7,1035,完全没有变化，仍然相信,6087
249.0,谣言信息5展示,辟谣信息5d,20374,51-60岁,542,初中及以下,544,1,1,1,0,0,1,1,0,1904,1,1000,是,5397,7,540,7,1049,非常不满意,1045,6,6140,7,1039,1,43279,是,48915,6,545,7,1038,1,1000,6,6106,7,1038,完全没有变化，仍然相信,6086
